Product,Distributor,BBC SKU,Customer SKU,07/25/2026 F,07/25/2026 A,08/01/2026 F,08/01/2026 A,08/08/2026 F,08/08/2026 A,08/15/2026 F,08/15/2026 A,08/22/2026 F,08/22/2026 A,08/29/2026 F,08/29/2026 A,09/05/2026 F,09/05/2026 A,09/12/2026 F,09/12/2026 A,09/19/2026 F,09/19/2026 A,09/26/2026 F,09/26/2026 A,10/03/2026 F,10/03/2026 A,10/10/2026 F,10/10/2026 A
Samuel Adams Boston Lager 12oz 2/12pk BT,076KOH,SA1013,3817,120,,107,,111,,111,,96,,117,,110,,102,,102,,96,,84,,86,
Samuel Adams Boston Lager 1/6 BBL KEG,076KOH,SA1060,3802,4,,7,,5,,4,,3,,5,,5,,4,,3,,3,,5,,3,
Samuel Adams Boston Lager 12oz 2/12pk CN,076KOH,SA1063,3829,37,,40,,37,,33,,28,,37,,29,,29,,27,,28,,27,,26,
Samuel Adams Boston Lager 1/2 BBL KEG,076KOH,SA1090,3804,4,,11,,10,,8,,9,,11,,11,,10,,7,,6,,11,,7,
Samuel Adams Octoberfest 12oz 4/6pk BT,076KOH,SA1312,3919,0,0,0,0,0,0,0,0,621,850,605,700,567,450,632,450,606,,594,,559,,610,
Samuel Adams Octoberfest 12oz 2/12pk BT,076KOH,SA1313,3918,0,0,0,0,0,0,0,0,673,850,586,700,537,450,533,450,511,,501,,434,,475,
Samuel Adams Octoberfest 12oz 28pk BT,076KOH,SA1328,3923,0,0,0,0,0,0,0,0,650,,431,,115,,181,,164,,119,,86,,76,
Samuel Adams Octoberfest 1/6 BBL KEG,076KOH,SA1360,3862,0,0,0,0,0,0,0,0,69,,103,,78,,85,,83,,84,,118,,83,
Samuel Adams Octoberfest 12oz 2/12pk CN,076KOH,SA1363,3921,0,0,0,0,0,0,0,0,507,650,400,600,268,200,282,200,252,,261,,232,,233,
Samuel Adams Octoberfest 1/2 BBL KEG,076KOH,SA1390,3813,0,0,0,0,0,0,0,0,157,,256,,165,,170,,159,,170,,249,,196,
Samuel Adams Cherry Wheat 12oz 4/6pk BT,076KOH,SA2712,3821,47,,45,,48,,49,,42,,52,,47,,50,,45,,46,,48,,49,
Samuel Adams Cherry Wheat 1/2 BBL KEG,076KOH,SA2790,3812,3,,4,,4,,4,,3,,4,,4,,4,,4,,4,,4,,4,
Samuel Adams Porch Rocker 12oz 4/6pk BT,076KOH,SA2K12,3907,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,
Samuel Adams Porch Rocker 12oz 2/12pk BT,076KOH,SA2K13,3908,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,
