Product,Inventory,Purchases,Invoices,Pending Invoices,Loaded,Picked,Delivered,Unsellable,In Production,On-Floor,Pre-Sales,Allocated,Available
9161 1911 Haunted Hayride 6/4/16 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9162 1911 Honey Crisp 5.2 Gal Keg,16,0,0,0,0,0,0,0,0,16,0,0,16
9163 1911 Established Sour Cherry 6/4/16 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
20103 1911 Clear View Original Non-Alcoholic 6/4/12 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
20104 1911 Clear View Rose Non-Alcoholic 6/4/12 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
91001 1911 Spiked Nitro Cold Brew 6/4/12 oz Can,77,0,0,0,0,0,0, (1),0,78,0,0,78
91002 1911 Honeycrisp Mule 6/4/12 oz Can,20,0,0,0,0,0,0,4,0,16,0,0,16
91003 1911 Honeycrisp Vodka 1/6/750 mL Btl,0,0,0,0,0,0,0,0,0,0,0,0,0
91004 1911 Cider Donut Bourbon 1/6/750 mL Btl,10,0,0,0,0,0,0,0,0,10,0,0,10
91007 1911 Whiskey Cola 6/4/12 oz Can,59,0,0,0,0,0,0,0,0,59,0,0,59
91008 1911 Spirits Variety (Canned Cocktails) 3/8/12 oz Can,49,0,0,0,0,0,0, (3),0,52,0,0,52
Total,"1,693",0,0,0,24,0,0,32,0,"1,637",5,0,"1,632"
Bell's,,,,,,,,,,,,,
10701 Bell's Two Hearted 4/6/12 oz Btl,109,0,0,0,4,0,0,94,0,11,1,0,10
10702 Bell's Two Hearted 2/12/12 oz Can,1,0,0,0,5,0,0, (6),0,2,0,0,2
10703 Bell's Two Hearted 6/4/16 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
10704 Bell's Two Hearted 1/15/19.2 oz Can,48,0,0,0,1,0,0, (1),0,48,1,0,47
10705 Bell's Two Hearted Keg 15.5BBL,7,0,0,0,1,0,0,0,0,6,0,0,6
10706 Bell's Two Hearted 7.75 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
10710 Bell's Christmas Ale 4/6/12 oz Btl,0,0,0,0,0,0,0,0,0,0,0,0,0
10711 Bell's Oberon 4/6/12 oz Btl,0,0,0,0,0,0,0,0,0,0,0,0,0
10712 Bell's Oberon 2/12/12 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
10713 Bell's Oberon Keg 15.5 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
10714 Bell's Oberon 7.75 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
10720 Bell's Oberon Variety 12oz 2/12PK Can,0,0,0,0,0,0,0,0,0,0,0,0,0
10721 Bell's Official 4/6/12 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
10722 Bell's Official 2/12/12 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
