Package ID,Package,Fluid Ounces Per Case,Case Equiv Description,Case Weight in Lbs,Case Equiv,Wholesale Units per Case,Retail Units per Case,Consumable Units per Case,Servings per Case,Selling Unit Of Measure,Container Type,Pick Units Per Case
2,0/0/16.92 oz,406,Beer,88,1.409722,1,1,24,1,3) Case (CA),Aluminum Can,1
206,0/0/16.93 oz,254,Beer,25,0.881944,1,1,15,1,3) Case (CA),Aluminum Can,1
207,0/0/1690.00 oz,1690,Beer,25,5.868056,1,1,1,1,3) Case (CA),Aluminum Can,1
208,0/0/17.60 oz,264,Beer,21,0.916667,1,1,15,1,3) Case (CA),Aluminum Can,1
209,0/0/17.79 oz,338,Beer,25,1.173611,1,1,19,1,3) Case (CA),Aluminum Can,1
210,0/0/170.00 oz,340,Beer,25,1.180556,1,1,2,1,3) Case (CA),Aluminum Can,1
211,0/0/18.58 oz,223,Beer,25,0.774306,1,1,12,1,3) Case (CA),Aluminum Can,1
212,0/0/19.17 oz,230,Beer,25,0.798611,1,1,12,1,3) Case (CA),Aluminum Can,1
213,0/0/19.20 oz,288,Beer,25,1,1,1,15,1,3) Case (CA),Aluminum Can,1
214,0/0/19.45 oz,389,Beer,25,1.350694,1,1,20,1,3) Case (CA),Aluminum Can,1
215,0/0/192.00 oz,192,Beer,25,0.666667,1,1,1,1,3) Case (CA),Aluminum Can,1
216,0/0/1984.00 oz,1984,Beer,25,6.888889,1,1,1,1,3) Case (CA),Aluminum Can,1
217,0/0/2.08 oz,25,Beer,9.30,0.086806,1,1,12,1,3) Case (CA),Aluminum Can,1
218,0/0/20.25 oz,405,Beer,25,1.406250,1,1,20,1,3) Case (CA),Aluminum Can,1
219,0/0/20.33 oz,244,Beer,25,0.847222,1,1,12,1,3) Case (CA),Aluminum Can,1
220,0/0/204.00 oz,204,Beer,21,0.708333,1,1,1,1,3) Case (CA),Aluminum Can,1
221,0/0/21.25 oz,255,Beer,21,0.885417,1,1,12,1,3) Case (CA),Aluminum Can,1
222,0/0/21.33 oz,384,Beer,21,1.333333,1,1,18,1,3) Case (CA),Aluminum Can,1
223,0/0/21.67 oz,260,Beer,21,0.902778,1,1,12,1,3) Case (CA),Aluminum Can,1
224,0/0/22.00 oz,264,Beer,21,0.916667,1,1,12,1,3) Case (CA),Aluminum Can,1
225,0/0/23.08 oz,277,Beer,21,0.961806,1,1,12,1,3) Case (CA),Aluminum Can,1
226,0/0/23.50 oz,282,Beer,21,0.979167,1,1,12,1,3) Case (CA),Aluminum Can,1
227,0/0/23.71 oz,569,Beer,21,1.975694,1,1,24,1,3) Case (CA),Aluminum Can,1
228,0/0/24.00 oz,288,Beer,21,1,1,1,12,1,3) Case (CA),Aluminum Can,1
229,0/0/24.07 oz,288.80,Beer,25,1.002778,1,1,12,1,3) Case (CA),Aluminum Can,1
230,0/0/25.00 oz,25,Beer,20.50,0.086806,1,1,1,1,3) Case (CA),Aluminum Can,1
231,0/0/25.33 oz,152,Beer,20.50,0.527778,1,1,6,1,3) Case (CA),Aluminum Can,1
232,0/0/25.40 oz,304.80,Beer,20.50,1.058333,1,1,12,1,3) Case (CA),Aluminum Can,1
233,0/0/25.42 oz,305,Beer,25,1.059028,1,1,12,1,3) Case (CA),Aluminum Can,1
234,0/0/25.75 oz,309,Beer,25,1.072917,1,1,12,1,3) Case (CA),Aluminum Can,1
235,0/0/25.92 oz,311,Beer,20.50,1.079861,1,1,12,1,3) Case (CA),Aluminum Can,1
236,0/0/264.00 oz,264,Beer,25,0.916667,1,1,1,1,3) Case (CA),Aluminum Can,1
237,0/0/27.50 oz,330,Beer,25,1.145833,1,1,12,1,3) Case (CA),Aluminum Can,1
238,0/0/288.00 oz,288,Beer,25,1,1,1,1,1,3) Case (CA),Aluminum Can,1
239,0/0/29.80 oz,298,Beer,20.50,1.034722,1,1,10,1,3) Case (CA),Aluminum Can,1
