Sales Rep Assigned / Supplier / Brand Family,Qualifier Brands,Case Equiv   6/1/2025 - 8/31/2025,Case Equiv   6/1/2026 - 8/31/2026,( Case Equiv   6/1/2026 - 8/31/2026) Goals,( Case Equiv   6/1/2026 - 8/31/2026) % of Goals,Case Equiv Unit Difference
Twisted Tea,,625,77,,0%,-548
Cape May,Amplify: Cape May,147,7,,0%,-140
Cape May,,147,7,,0%,-140
Constellation Brands,Amplify: Chelada / Victoria / Pacifico,3399,515,,0%,-2884
Modelo Chelada,,2985,452,,0%,-2533
Pacifico,,185,36,,0%,-149
Victoria,,229,27,,0%,-202
Constellation Brands,Qualifier: Modelo/Corona,46790,5546,46527,11.9%,-41244
Corona Extra,,24372,2718,,0%,-21654
Modelo Especial,,22417,2827,,0%,-19590
DG Yuengling Inc,Amplify: Yuengling Light / Yuengling Flight,48,11,,0%,-38
Yuengling Flight,,39,9,,0%,-31
Yuengling Light Lager,,9,2,,0%,-7
DG Yuengling Inc,Qualifier: Yuengling Lager,1220,126,1196,10.5%,-1094
Yuengling Lager,,1220,126,,0%,-1094
Heineken USA,Amplify: Heineken Light / Heineken 0.0,632,108,,0%,-523
Heineken 0.0,,387,64,,0%,-322
Heineken Light,,245,44,,0%,-201
Heineken USA,Qualifier: Heineken USA,11040,1351,10378,13.0%,-9690
Heineken USA,,11040,1351,,0%,-9690
Mark Anthony,Amplify: Cayman Jack / Mike's Harder / MXD,216,19,,0%,-197
Cayman Jack,,162,16,,0%,-146
Mike's Harder,,54,3,,0%,-51
Mark Anthony,Qualifier: White Claw,2950,357,2655,13.4%,-2593
White Claw,,2950,357,,0%,-2593
MolsonCoors Beverage Company,Amplify: Coors / Peroni,1565,281,,0%,-1283
Coors,,777,155,,0%,-622
Peroni,,788,126,,0%,-662
MolsonCoors Beverage Company,Qualifier: Coors Light/Miller Lite/Blue Moon,16693,2394,16335,14.7%,-14298
Blue Moon,,1598,243,,0%,-1355
Coors Light,,13085,1784,,0%,-11300
Lite,,2010,367,,0%,-1643
New Belgium Brewing Company,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,1930,140,,0%,-1791
Fat Tire Family,,49,5,,0%,-44
Kirin Ichiban,,1365,82,,0%,-1283
Voodoo Family,,517,53,,0%,-464
Sapporo,Amplify: Sapporo,2081,351,,0%,-1730
Sapporo,,2081,351,,0%,-1730
Dave Ehlers,,122610,18577,,0%,-104033
Bell's,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,36,,,0%,-36
Bell's,,36,,,0%,-36
Boston Beer Company,Amplify: Dogfish Head,785,130,,0%,-655
Dogfish Head Beer,,624,115,,0%,-509
Dogfish Head Spirits,,161,15,,0%,-146
Boston Beer Company,Qualifier: Truly / Twisted Tea,3380,489,3250,15.0%,-2891
Truly,,841,116,,0%,-725
Twisted Tea,,2539,373,,0%,-2166
Cape May,Amplify: Cape May,462,101,,0%,-361
Cape May,,462,101,,0%,-361
Constellation Brands,Amplify: Chelada / Victoria / Pacifico,5916,1068,,0%,-4848
Modelo Chelada,,3087,534,,0%,-2553
