Supplier,Brand Family,Segment,Sub-Segments,Package,Cases   1/1/2025 - 7/31/2025,Cases   1/1/2026 - 7/31/2026,Cases Unit Difference,Cases Percentage Difference,$Vol   1/1/2025 - 7/31/2025,$Vol   1/1/2026 - 7/31/2026,$Vol Unit Difference,$Vol Percentage Difference
Boston Beer Company,Samuel Adams,Beer,Beer - Craft,1/12/19.2oz,,374.00,374.00,0.0%,,"$10,520.40","$10,520.40",0.0%
Boston Beer Company,Angry Orchard,Cider,Cider,2/12/12oz NR,1379.00,1383.00,4.00,0.3%,"$43,823.50","$44,201.00",$377.50,0.9%
Boston Beer Company,Dogfish Head Spirits,Spirits,Spirits - Whiskey,1/12/750 mL (BO),3.00,2.25,-0.75,-25.0%,$415.47,$305.60,($109.87),-26.4%
Boston Beer Company,Dogfish Head Spirits,RTD,RTD,6/4/12oz Can,1675.00,1371.00,-304.00,-18.1%,"$96,770.00","$78,605.00","($18,165.00)",-18.8%
Boston Beer Company,Samuel Adams,Beer,Beer - Craft,1/24/12oz Can,2696.00,2263.00,-433.00,-16.1%,"$79,698.00","$68,072.00","($11,626.00)",-14.6%
Boston Beer Company,Twisted Tea,FMB,FMB,2/12/12oz Can,30863.00,26165.00,-4698.00,-15.2%,"$895,688.76","$739,102.11","($156,586.65)",-17.5%
Boston Beer Company,Sun Cruiser,RTD,RTD,1/12/19.2 oz Can,,2105.00,2105.00,0.0%,,"$67,802.00","$67,802.00",0.0%
Boston Beer Company,Dogfish Head Beer,Beer,Beer - Craft,2/12/12oz Can,5428.00,5681.00,253.00,4.7%,"$169,783.40","$177,494.76","$7,711.36",4.5%
Boston Beer Company,Samuel Adams,Beer,Beer - Non-Alc,4/6/12oz Can,1516.00,1172.00,-344.00,-22.7%,"$50,274.00","$38,922.00","($11,352.00)",-22.6%
Boston Beer Company,Dogfish Head Beer,Beer,Beer - Craft,6/4/12oz NR,163.00,123.00,-40.00,-24.5%,"$27,452.00","$20,724.00","($6,728.00)",-24.5%
Boston Beer Company,Dogfish Head Beer,Beer,Beer - Craft,12/19.2oz Can,1487.00,1551.00,64.00,4.3%,"$43,397.70","$45,262.10","$1,864.40",4.3%
Boston Beer Company,Hard Mountain Dew,FMB,FMB,2/12/12oz Can,2695.00,1249.00,-1446.00,-53.7%,"$79,511.65","$37,649.50","($41,862.15)",-52.6%
Boston Beer Company,Twisted Tea,FMB,FMB,1/6 BBL Keg (5.2 Gal),101.00,99.00,-2.00,-2.0%,"$9,418.00","$9,048.00",($370.00),-3.9%
Boston Beer Company,Twisted Tea,FMB,FMB,24/16OZ can,729.00,178.00,-551.00,-75.6%,"$26,244.00","$6,408.00","($19,836.00)",-75.6%
Boston Beer Company,Truly,Seltzer,Seltzer,1/6 BBL Keg (5.2 Gal),110.00,74.00,-36.00,-32.7%,"$10,788.00","$7,252.00","($3,536.00)",-32.8%
Boston Beer Company,Truly,RTD,RTD,3/8/12oz Can,-25.00,,25.00,-100.0%,"($1,075.00)",,"$1,075.00",-100.0%
Boston Beer Company,Sun Cruiser,RTD,RTD,6/4/12oz Can,3952.00,3073.00,-879.00,-22.2%,"$186,838.00","$139,950.00","($46,888.00)",-25.1%
Boston Beer Company,Angry Orchard,Cider,Cider,4/6/12oz NR,12027.00,12670.00,643.00,5.3%,"$441,391.80","$444,350.34","$2,958.54",0.7%
Boston Beer Company,Twisted Tea,FMB,FMB,6/4/16oz Can,,205.00,205.00,0.0%,,"$8,309.78","$8,309.78",0.0%
Boston Beer Company,Sun Cruiser,RTD,RTD,1/24/12oz Can,2188.00,7414.00,5226.00,238.8%,"$87,562.00","$285,686.25","$198,124.25",226.3%
Boston Beer Company,Coney Island,Beer,Beer - Craft,15.5 Gal Keg,0.00,,0.00,0.0%,$0.00,,$0.00,0.0%
Boston Beer Company,Samuel Adams,Beer,Beer - Craft,15.5 Gal Keg,1850.00,1664.00,-186.00,-10.1%,"$385,696.84","$346,328.00","($39,368.84)",-10.2%
Boston Beer Company,Truly,Seltzer,Seltzer,1/24/16.00 oz,342.00,38.00,-304.00,-88.9%,"$12,312.00","$1,368.00","($10,944.00)",-88.9%
Boston Beer Company,Truly,RTD,RTD,6/4/12oz Can,-2.00,,2.00,-100.0%,($94.00),,$94.00,-100.0%
Boston Beer Company,Samuel Adams,Beer,Beer - Craft,12/19.2oz Can,300.00,26.00,-274.00,-91.3%,"$8,444.00",$730.60,"($7,713.40)",-91.3%
Boston Beer Company,Truly,Seltzer,Seltzer,1/24/12oz Can,1307.00,590.00,-717.00,-54.9%,"$34,923.50","$15,638.00","($19,285.50)",-55.2%
Boston Beer Company,Angry Orchard,Cider,Cider,1/6 BBL Keg (5.2 Gal),177.00,134.00,-43.00,-24.3%,"$18,263.00","$13,830.00","($4,433.00)",-24.3%
Boston Beer Company,Twisted Tea,FMB,FMB,4/6/12oz NR,11511.00,8637.00,-2874.00,-25.0%,"$362,727.50","$272,554.00","($90,173.50)",-24.9%
Boston Beer Company,Sun Cruiser,RTD,RTD,2/12/12oz Can,3984.00,17520.00,13536.00,339.8%,"$157,990.55","$680,922.65","$522,932.10",331.0%
Boston Beer Company,Dogfish Head Beer,Beer,Beer - Craft,12/375ml Btl,,1.00,1.00,0.0%,,$93.00,$93.00,0.0%
Boston Beer Company,Sun Cruiser,RTD,RTD,1/12/24oz Can,743.00,218.00,-525.00,-70.7%,"$31,344.00","$7,603.00","($23,741.00)",-75.7%
Boston Beer Company,Truly,Seltzer,Seltzer,2/12/12oz Can,18916.00,14223.00,-4693.00,-24.8%,"$538,096.16","$412,499.35","($125,596.81)",-23.3%
Boston Beer Company,Samuel Adams,Beer,Beer - Craft,2/12/12oz NR,9861.00,9227.00,-634.00,-6.4%,"$298,284.86","$302,111.04","$3,826.18",1.3%
Boston Beer Company,Twisted Tea,FMB,FMB,4/5 Liter Box,328.00,323.00,-5.00,-1.5%,"$17,747.40","$17,504.00",($243.40),-1.4%
Boston Beer Company,Angry Orchard,Cider,Cider,1/12/19.2oz,,964.00,964.00,0.0%,,"$24,744.00","$24,744.00",0.0%
Boston Beer Company,Dogfish Head Beer,Beer,Beer - Craft,4/6/12oz Can,2786.00,2903.00,117.00,4.2%,"$90,953.20","$95,799.06","$4,845.86",5.3%
Boston Beer Company,Sinless Vodka Cocktail,RTD,RTD,3/8/12oz Can,,498.00,498.00,0.0%,,"$23,487.00","$23,487.00",0.0%
Boston Beer Company,Dogfish Head Beer,Beer,Beer - Craft,15.5 Gal Keg,477.00,514.00,37.00,7.8%,"$100,840.14","$108,209.00","$7,368.86",7.3%
Boston Beer Company,Dogfish Head Spirits,RTD,RTD,3/8/12oz Can,1982.00,2057.00,75.00,3.8%,"$97,554.00","$88,052.00","($9,502.00)",-9.7%
Boston Beer Company,Angry Orchard,Cider,Cider,4/6/12oz Can,372.00,253.00,-119.00,-32.0%,"$13,416.50","$8,534.00","($4,882.50)",-36.4%
Boston Beer Company,Sun Cruiser,RTD,RTD,18/12oz Can,640.00,1400.00,760.00,118.8%,"$16,866.00","$37,803.00","$20,937.00",124.1%
Boston Beer Company,Samuel Adams,Beer,Beer - Craft,4/6/12oz Can,412.00,274.00,-138.00,-33.5%,"$13,540.00","$9,631.20","($3,908.80)",-28.9%
Brewt's LLC,Brewt's,Non-Alc,Non-Alc – Mixer,1/6/946 ML,64.00,14.00,-50.00,-78.1%,"$3,072.00",$672.00,"($2,400.00)",-78.1%
Buzbee's Beverages USA LLC,Buzbee's,Non-Alc,Non-Alc - Soda,6/4/200 ML,53.00,1.00,-52.00,-98.1%,"$1,431.00",$28.50,"($1,402.50)",-98.0%
Cape May,Cape May,Beer,Beer - Craft,5.2 Gal Keg,339.00,378.00,39.00,11.5%,"$37,270.00","$42,519.37","$5,249.37",14.1%
Cape May,Cape May,Beer,Beer - Craft,6/4/16oz Can,244.00,217.00,-27.00,-11.1%,"$18,023.20","$16,030.60","($1,992.60)",-11.1%
Cape May,Cape May,Beer,Beer - Craft,12/19.2oz Can,504.00,484.00,-20.00,-4.0%,"$15,670.00","$15,038.00",($632.00),-4.0%
Cape May,Cape May,RTD,RTD,6/4/12oz Can,-19.00,,19.00,-100.0%,($966.00),,$966.00,-100.0%
Cape May,Cape May,Beer,Beer - Craft,15.5 Gal Keg,202.00,296.00,94.00,46.5%,"$43,338.00","$64,883.56","$21,545.56",49.7%
Cape May,Cape May,Beer,Beer - Craft,2/12/12oz Can,3452.00,4338.00,886.00,25.7%,"$125,615.05","$160,549.90","$34,934.85",27.8%
Cape May,Cape May,Beer,Beer - Craft,4/6/12oz Can,9553.00,8715.00,-838.00,-8.8%,"$401,180.46","$362,294.11","($38,886.35)",-9.7%
Caravella Inc,Dancing Vines,Wine,Wine - Sparkling,1/12/750ml Btl,19.00,13.00,-6.00,-31.6%,"$1,660.00","$1,092.00",($568.00),-34.2%
Caravella Inc,Poca Loca,Wine,Wine - Other,1/12/750ml Btl,68.00,34.00,-34.00,-50.0%,"$4,365.80","$1,738.00","($2,627.80)",-60.2%
Caravella Inc,2 Canos,Wine,Wine - Other,2/6/750 ML,,600.00,600.00,0.0%,,"$46,944.00","$46,944.00",0.0%
Caravella Inc,2 Canos,Wine,Wine - Other,1/12/750ml Btl,310.00,8.00,-302.00,-97.4%,"$27,973.60",$470.30,"($27,503.30)",-98.3%
