Brand Family,Supplier,Package,City,County,Sales Rep Assigned,Case Equiv 1/1/2025 - 7/31/2025,Case Equiv 1/1/2026 - 7/31/2026,Case Equiv ±,Case Equiv % ±
Modelo Especial,Constellation Brands,2/12/12oz Can,Bergenfield,Bergen,Dave Ehlers,"1,386.00","1,270.00", (116.00),(8.37%)
Coors Light,MolsonCoors Beverage Company,1/12/24oz Can,Paterson,Passaic,Phil Ernst,899.00,"1,268.00",369.00,41.05%
White Claw,Mark Anthony,12/19.2oz Can,Clifton,Passaic,Jim Heaney,"1,120.80","1,267.20",146.40,13.06%
White Claw,Mark Anthony,2/12/12oz Can,Franklin,Sussex,Jayson Romine,"1,516.00","1,264.00", (252.00),(16.62%)
Corona Extra,Constellation Brands,4/6/12oz NR,Garfield,Bergen,Matt Powierski,"1,564.00","1,263.00", (301.00),(19.25%)
Lite,MolsonCoors Beverage Company,30/12oz Can,Sussex,Sussex,Jayson Romine,"1,890.00","1,262.50", (627.50),(33.20%)
Coors Light,MolsonCoors Beverage Company,30/12oz Can,River Edge,Bergen,Dave Ehlers,"1,560.00","1,242.50", (317.50),(20.35%)
Saranac,FX Matt,4/6/12oz NR,Paramus,Bergen,Phil Ernst,"1,928.00","1,242.00", (686.00),(35.58%)
Modelo Especial,Constellation Brands,2/12/12oz NR,Lodi,Bergen,Chris Payton,"1,374.00","1,239.00", (135.00),(9.83%)
Coors Light,MolsonCoors Beverage Company,30/12oz Can,Totowa,Passaic,Dave Ehlers,"1,506.25","1,238.75", (267.50),(17.76%)
Modelo Especial,Constellation Brands,12/32oz NR,Passaic,Passaic,Javier Melo,"1,262.67","1,236.00", (26.67),(2.11%)
Corona Extra,Constellation Brands,2/12/7oz BTL,Paterson,Passaic,Javier Melo,0.00,"1,235.50","1,235.50",100.00%
Corona Extra,Constellation Brands,4/6/12oz NR,Englewood,Bergen,Dave Ehlers,"1,032.00","1,231.00",199.00,19.28%
Corona Extra,Constellation Brands,2/12/12oz NR,River Edge,Bergen,Dave Ehlers,"1,244.00","1,229.00", (15.00),(1.21%)
Heineken USA,Heineken USA,24/7oz NR,East Rutherford,Bergen,John Neukum,"1,501.50","1,228.50", (273.00),(18.18%)
Corona Extra,Constellation Brands,24/12oz NR,Clifton,Passaic,Derrick Laws,"1,665.00","1,228.00", (437.00),(26.25%)
Modelo Especial,Constellation Brands,1/12/24oz Can,Palisades Park,Bergen,Dan Lagala,"1,028.00","1,226.00",198.00,19.26%
Heineken USA,Heineken USA,6/4/16oz Can,Clifton,Passaic,Jim Heaney,"1,016.00","1,224.00",208.00,20.47%
Montauk,Montauk Brewing Co,4/6/12oz Can,Hoboken,Hudson,Jaime Colonna,"1,330.00","1,223.00", (107.00),(8.05%)
Modelo Especial,Constellation Brands,24/7oz NR,Teterboro,Bergen,John Neukum,322.00,"1,220.33",898.33,278.99%
