Supplier / Brand Family,Case Equiv 1/1/2025 - 7/31/2025,Case Equiv 1/1/2026 - 7/31/2026,Case Equiv ±,Case Equiv % ±
Hofbrau Usa,6595.734264,6864.376966,268.642702,4.073
Artisanal Imports,6583,4207,-2376,-36.092999999999996
Palma,3928,1876,-2052,-52.2403
Tona,2655,2331,-324,-12.2034
Narragansett,5484.30489,5852.80482,368.49993,6.7192
Narragansett,4853.638329,5157.471609,303.83328,6.2599
Del's Shandy,630.666561,695.333211,64.66665,10.2537
Red Bull,4266.549287,3470.472772,-796.076515,-18.6586
Red Bull,4266.549287,3470.472772,-796.076515,-18.6586
Saratoga,3617.00081,5400.001308,1783.000498,49.295
Saratoga,3617.00081,5400.001308,1783.000498,49.295
Beak & Skiff,3304.283972,4143.465724,839.181752,25.396800000000002
1911 Hard Cider,3291.783972,4128.465724,836.681752,25.417299999999997
1911 Spirits,12.5,15,2.5,20.0
Food & Bev Enterprise LLC,3155.040781,3779.162238,624.121457,19.7817
Food & Bev,1105.587789,1379.012867,273.425078,24.7312
Poker Import,1105.29191,1123.621141,18.329231,1.6583
Aguila Import,780.158582,1070.41698,290.258398,37.2051
Costenita,164.0025,206.11125,42.10875,25.675700000000003
Global Beer,2997.432571,2368.584052,-628.848519,-20.9796
Stiegl,1065.810596,911.009826,-154.80077,-14.5242
Sullivan's,842.646057,697.932085,-144.713972,-17.1738
Czechvar,665.024134,256.189994,-408.83414,-61.476600000000005
Yard House,187.187508,176.656257,-10.531251,-5.6259999999999994
Gulden Draak,76.66321,71.934042,-4.729168,-6.1688
Petrus,73.718757,80.739591,7.020834,9.5238
Bavik,34.444445,75.777779,41.333334,120.0
Piraat,34.326394,40.88195,6.555556,19.0977
Baptist Wit,17.61147,35.22294,17.61147,100
Van Steenberge,0,22.239588,22.239588,100
Vinaio Imports LTD,2916.351008,2811.363818,-104.98719,-3.5999999999999996
Cerveza Republica La Tuya 5.0 La Dura,2029.958436,2533.54227,503.583834,24.8076
Cerveza Republica LA Tuya,886.392572,266.19798,-620.194592,-69.9684
Carinoso,0,11.623568,11.623568,100
Evil Genius,2814.415345,2317.17506,-497.240285,-17.6676
Evil Genius,2814.415345,2317.17506,-497.240285,-17.6676
Bell's,2713.555554,3038.000003,324.444449,11.9564
Bell's Hearted Family,2178.222222,2276.000003,97.777781,4.4889
Bell's,535.333332,762,226.666668,42.3412
Travelers Club,2360.72228,2307.681654,-53.040626,-2.2468
Travelers Club,2360.72228,2307.681654,-53.040626,-2.2468
Flying Fish,2170.868079,1574.97224,-595.895839,-27.4497
Flying Fish,2035.159744,1515.138906,-520.020838,-25.551800000000004
Big Mans Brew,135.708335,59.833334,-75.875001,-55.9103
BJ'S Private Label Brew,2099.861151,2213.944483,114.083332,5.4329
BJ'S Private Label Brewa,2099.861151,2213.944483,114.083332,5.4329
Harpoon Brewery,2067.729167,1805.9375,-261.791667,-12.6608
Long Trail,2067.729167,1805.9375,-261.791667,-12.6608
Vermont Hard Cider,1956.22222,1683.666671,-272.555549,-13.9327
Woodchuck,1872.111108,1628.555559,-243.555549,-13.009699999999999
Wyder's,55.111112,55.111112,0,0
Day Chaser,29,0,-29,-100
Southern Tier Brewing Company,1909.062498,1433.118053,-475.944445,-24.9308
Southern Tier,1909.062498,1433.118053,-475.944445,-24.9308
Hornell Brewing Company,1859,430,-1429,-76.8693
Arizona Hard,1859,430,-1429,-76.8693
Great Lakes,1713.861118,1818.756953,104.895835,6.1204
Great Lakes,1713.861118,1818.756953,104.895835,6.1204
Prestige,1518.560592,1695.1297,176.569108,11.6274
Mythos,1345.00032,1547.684396,202.684076,15.0694
Greek Wines,89.81848,105.6688,15.85032,17.6471
Fix Hellas,78.458352,35.493064,-42.965288,-54.7619
Greek Spirits,5.28344,6.28344,1,18.9271
Tilray Alternative Beverage,1158,295,-863,-74.52499999999999
Herb & Bloom,693,-44,-737,-106.34920000000001
Fizzy Jane,450,173,-277,-61.5556
Happy Flower,15,166,151,1006.6667000000001
Crook & Marker,1050.332968,17.249994,-1033.082974,-98.35770000000001
Crooked Tea,986.124657,22.041659,-964.082998,-97.7648
Crook&Marker,64.208311,-4.791665,-68.999976,-107.4627
Gambrinus Imports,1010.666656,1144.777764,134.111108,13.2696
Shiner,1010.666656,1144.777764,134.111108,13.2696
Emergent Beverage Partners,970,264,-706,-72.7835
Hectare's,350,184,-166,-47.428599999999996
Boldt Infused D9,323,71,-252,-78.0186
Crooked Beverage,129,2,-127,-98.4496
Beckett's D9,85,3,-82,-96.47059999999999
Lark Infused D9,83,4,-79,-95.1807
River Horse Brewing Co,879.236127,-5,-884.236127,-100.5687
River Horse Brewing Co,873.236127,-5,-878.236127,-100.5726
The Garden State Experience,6,0,-6,-100
Pampa Beverages,849,1552,703,82.80330000000001
Quilmes,849,1552,703,82.80330000000001
Newburgh Brewing,829.930475,612.965213,-216.965262,-26.142599999999998
Newburgh,829.930475,612.965213,-216.965262,-26.142599999999998
Alias Brew Works,805.847245,-11,-816.847245,-101.365
Alias Brew Works,805.847245,-11,-816.847245,-101.365
Global Village Imp.,804,672,-132,-16.4179
Augustiner,804,672,-132,-16.4179
Forged Irish Stout,798.354384,717.541838,-80.812546,-10.122399999999999
Forged Irish Stout,798.354384,717.541838,-80.812546,-10.122399999999999
Talkhouse Encore,798,956,158,19.799500000000002
Talkhouse Encore,798,956,158,19.799500000000002
Delta Beverage LLC,769,2758.28344,1989.28344,258.68449999999996
Delta,769,2758.28344,1989.28344,258.68449999999996
Bardstown Bourbon Co,689.405636,529.197473,-160.208163,-23.2386
Bardstown Bourbon,474.15908,252.699556,-221.459524,-46.7057
Bardstown Green River,215.246556,276.497917,61.251361,28.4564
Caravella Inc,650.415268,786.336601,135.921333,20.8976
2 Canos,327.57328,607.021904,279.448624,85.3087
Caravella,230.910132,129.650361,-101.259771,-43.8525
Poca Loca,71.854784,35.927392,-35.927392,-50.0
Dancing Vines,20.077072,13.736944,-6.340128,-31.578899999999997
HOP WTR,643.833344,241,-402.833344,-62.568
HOP WTR,643.833344,241,-402.833344,-62.568
Duclaw Brewing,612.624964,-2.333333,-614.958297,-100.3809
Duclaw,612.624964,-2.333333,-614.958297,-100.3809
Citizen Cider,538.333199,14.666663,-523.666536,-97.27550000000001
Citizen Cider,538.333199,14.666663,-523.666536,-97.27550000000001
Ithaca,489.159713,256.499998,-232.659715,-47.563100000000006
Ithaca,489.159713,256.499998,-232.659715,-47.563100000000006
Crescent Canna,448,492,44,9.821399999999999
Crescent 9,448,492,44,9.821399999999999
Barn Brew Co,383.874976,389.833319,5.958343,1.5522
Barn Brew,383.874976,389.833319,5.958343,1.5522
Cricket Hill,381.507714,6.9375,-374.570214,-98.1816
Cricket Hill,381.507714,6.9375,-374.570214,-98.1816
SAZERAC INC,364,322,-42,-11.5385
Fresca Mixed,364,259,-105,-28.8462
Fresca Hard Sparkling,0,63,63,100
