Sales Rep Assigned,Customer Num,Customer Name,Shipping Address,Distribution Area,Area,County,City,Premise,Buyer Count   2026,Cases   2026
Derrick Laws,20066,J & B Bar & Liq (Z),468 Broadway,Passaic,Passaic,Passaic,Paterson,Off Premise,1,3848.00
Derrick Laws,15020,Angel's Wine & Liquors,78 North 6th St,Passaic,Passaic,Passaic,Paterson,Off Premise,1,3701.00
Derrick Laws,20041,Yaremy Liquors,29 Park Ave,Passaic,Passaic,Passaic,Paterson,Off Premise,1,3643.25
Derrick Laws,21001,Rocky's Liquor Store,48-50 Third Avenue,Passaic,Passaic,Passaic,Paterson,Off Premise,1,3239.00
Derrick Laws,20076,Moca Liquors Ii,497 Broadway,Sales,Sales,Passaic,Paterson,Off Premise,1,994.00
Derrick Laws,20129,Main Discount (P) Liqs.,1137 Main St,Passaic,Passaic,Passaic,Paterson,Off Premise,1,235.00
Pablo Lopez,27072,Sunny's Liqs.(P),92 Belmont Ave,Sales,Sales,Passaic,Woodland Park,Off Premise,27,428472.90
Pablo Lopez,20014,Bombolon Liquor & Grocery,192 E 16th St,Passaic,Passaic,Passaic,Paterson,Off Premise,1,109512.77
Pablo Lopez,21024,Altiero Liquors,498 Ellison St.,Passaic,Passaic,Passaic,Paterson,Off Premise,1,63038.01
Pablo Lopez,20022,Caraballo's,495 Market Street,Passaic,Passaic,Passaic,Paterson,Off Premise,1,49605.90
Pablo Lopez,20042,Midtown Liquors,274 Broadway,Passaic,Passaic,Passaic,Paterson,Off Premise,1,37797.00
Pablo Lopez,15030,EL BOHEMIO 2 LIQUOR STORE & BAR,92 Belmont Ave,Passaic,Passaic,Passaic,Paterson,Off Premise,1,29864.40
Pablo Lopez,15034,Allen's Liquors,209 Mcbride Ave,Passaic,Passaic,Passaic,Paterson,Off Premise,1,18155.15
Pablo Lopez,26014,Regalado Liq,168 Market St,Passaic,Passaic,Passaic,Passaic,Off Premise,1,11659.00
Pablo Lopez,15016,Gene's Liquor,26 N Straight St,Passaic,Passaic,Passaic,Paterson,Off Premise,1,11578.00
Pablo Lopez,27043,Monroe Wine & Liq(P),199 Monroe St,Passaic,Passaic,Passaic,Passaic,Off Premise,1,11281.00
Pablo Lopez,27072,Passaic Discount Liquors,49 Market St,Passaic,Passaic,Passaic,Passaic,Off Premise,1,11146.00
Pablo Lopez,27066,Sunny's Liqs.(P),413 Monroe St,Passaic,Passaic,Passaic,Passaic,Off Premise,1,10948.00
Pablo Lopez,27069,Broadway W&L,62 Broadway,Passaic,Passaic,Passaic,Passaic,Off Premise,1,10649.00
Pablo Lopez,27021,Johnny's Liqs (P),370 Monroe St,Passaic,Passaic,Passaic,Passaic,Off Premise,1,8858.00
Pablo Lopez,27005,#1 Liqrs (P),130 Howe Ave,Passaic,Passaic,Passaic,Passaic,Off Premise,1,7327.00
Pablo Lopez,20070,Joe's Liquor (A),328 11th Ave,Passaic,Passaic,Passaic,Paterson,Off Premise,1,5907.50
Pablo Lopez,15061,Boulevard Wine & Spirits,467 Union Ave,Passaic,Passaic,Passaic,Paterson,Off Premise,1,5214.00
Pablo Lopez,20062,Intensity Lounge/Angie's Liquors,109 Main St,Passaic,Passaic,Passaic,Paterson,Off Premise,1,4988.00
Pablo Lopez,21034,Schulman's (P) Deli,521 Park Ave,Passaic,Passaic,Passaic,Paterson,Off Premise,1,4672.33
Pablo Lopez,21032,Carisma Liq & Groc (P),230 Vreeland Ave,Passaic,Passaic,Passaic,Paterson,Off Premise,1,3805.00
Pablo Lopez,20051,Costambar Bar & Liquor Corp.,292-294 Market Street,Passaic,Passaic,Passaic,Paterson,Off Premise,1,2579.50
Pablo Lopez,15047,Freddie's Corner,295 Mt Pleasant Ave,Passaic,Passaic,Passaic,West Paterson,Off Premise,1,2558.00
Pablo Lopez,20114,Ronny's Liqrs (Z),389 Madison Avenue,Passaic,Passaic,Passaic,Paterson,Off Premise,1,2166.00
Pablo Lopez,20032,Riverside Liquors (Paterson),402 River St,Sales,Sales,Passaic,Paterson,Off Premise,1,1655.00
Pablo Lopez,20029,Star Liquor Store,13 12th Ave,Passaic,Passaic,Passaic,Paterson,Off Premise,1,1616.00
Pablo Lopez,15040,Legacy Bar & Liquor,1019 Mcbride Ave,Passaic,Passaic,Passaic,Woodland Park,Off Premise,1,1397.33
Pablo Lopez,20068,Florida Drugs (A),507 Broadway,Passaic,Passaic,Passaic,Paterson,Off Premise,1,448.00
Pablo Lopez,20124,Lena y Carbon Broaster,21 Mill St.,Sales,Sales,Passaic,Paterson,Off Premise,1,47.00
Chris Payton,81011,Yoshi Liq/Wine (P),93 S. Main St,Sales,Sales,Passaic,Woodridge,Off Premise,40,416044.02
Chris Payton,46033,Discount Lqr(A) Outlet,15 Grand Ave,Bergen,Bergen,Bergen,Palisades Park,Off Premise,1,161849.85
Chris Payton,47011,Ridgefield Deli & Liq,284 Teaneck Road,Bergen,Bergen,Bergen,Ridgefield Park,Off Premise,1,44434.32
Chris Payton,25045,Clifton Disc Liq (A),73 Ackerman Ave Botony Pl,Passaic,Passaic,Passaic,Clifton,Off Premise,1,31508.50
Chris Payton,38007,Garden Liquors (P),300 Harrison Ave,Bergen,Bergen,Bergen,Lodi,Off Premise,1,16898.33
Chris Payton,50020,Wineland,247 Degraw Ave,Bergen,Bergen,Bergen,Teaneck,Off Premise,1,16002.00
Chris Payton,76010,Usa Wine Traders Club (Saddle Brook),66 Market St,Bergen,Bergen,Bergen,Saddle Brook,Off Premise,1,15268.33
Chris Payton,35001,Westmont Liquors 64,611 Avalon Drive,Bergen,Bergen,Bergen,Woodridge,Off Premise,1,10496.75
Chris Payton,23006,46 Discount Liquor Store,519 Rt 46e (Piaget Ave),Passaic,Passaic,Passaic,Clifton,Off Premise,1,9989.00
Chris Payton,47005,Exquisite W & L (A),215 Main St,Bergen,Bergen,Bergen,Ridgefield Park,Off Premise,1,9850.50
Chris Payton,38021,Buy Rite Of Main St Lodi,449 Main St,Bergen,Bergen,Bergen,Lodi,Off Premise,1,8687.83
Chris Payton,38040,Buy Rite Discount Liquor,183 Route 46 West,Bergen,Bergen,Bergen,Lodi,Off Premise,1,8274.17
Chris Payton,25034,Figlar's (P),327 Hope Ave,Passaic,Passaic,Passaic,Clifton,Off Premise,1,7745.00
Chris Payton,38008,Shop Rite Liq.(A)Lodi,150 Main Str,Bergen,Bergen,Bergen,Lodi,Off Premise,1,6548.00
Chris Payton,38019,Circle Liquors,1- 6 South Main Street,Bergen,Bergen,Bergen,Lodi,Off Premise,1,6442.35
Chris Payton,35002,Woodridge Wines & Liq(A),206 Hackensack St,Bergen,Bergen,Bergen,Woodridge,Off Premise,1,5678.67
Chris Payton,50016,Teaneck Quickshop(P)Conv,725 Cedar Lane,Bergen,Bergen,Bergen,Teaneck,Off Premise,1,5189.00
