Sales Rep Assigned,Customer Num,Customer Name,Shipping Address,City,Area,Cases   2026
Brian Sengebush,190903,Taphouse 15,75 NJ-15,Wharton,Morris 1,240.00
Brian Sengebush,190203,Boonton Lanes,720 Myrtle Ave,Boonton,Morris 1,484.00
Brian Sengebush,190905,Rockaway River Barn,11 Greenpond Rd,Rockaway,Morris 1,432.00
Brian Sengebush,190217,Nostrana Ristorante,91 Elcock Ave,Boonton,Morris 1,73.00
Brian Sengebush,190601,Thatcher Mcghee's (A),53 Broadway,Denville,Morris 1,782.00
Brian Sengebush,190219,Columbia Inn,29 Main Rd.,Montville,Morris 1,206.33
Brian Sengebush,191521,Patricks Pub (P),470 River Styx Rd,Hopatcong,Sussex,269.00
Brian Sengebush,1022,The Cheesecake Factory,301 Mt. Hope Ave,Rockaway,Morris 1,209.00
Brian Sengebush,190921,White Owl Tavern,17 Fern Ave,Wharton,Morris 1,96.00
Brian Sengebush,190803,Germania Park,56 Conger St.,Dover,Morris 1,59.00
Brian Sengebush,231717,Culver Liquor and Bar,364 Us-206,Branchville,Sussex,6054.00
Brian Sengebush,190918,Luna Restaurant & Bar,42 N Main St,Wharton,Morris 1,336.00
