Customer Num,Customer Name,Draft Package,Shipping Address,City,County,Distribution Area,Buyer Count   2026,Units   2026
19012,Bottagra Rest (P),2) Draft and Package,80 Wagaraw Road,Hawthorne,Passaic,Passaic,1.00,363.00
19014,Macaluso's (P),2) Draft and Package,55 4th Ave,Hawthorne,Passaic,Passaic,1.00,151.00
19016,Jiggle's,3) Package Only,105 Mohawk Ave,Hawthorne,Passaic,Passaic,1.00,480.00
19021,The Front Porch (Z),2) Draft and Package,217 Wagaraw Road,Hawthorne,Passaic,Passaic,1.00,180.00
19025,Riverside Veteran,2) Draft and Package,123 Royal Avenue,Hawthorne,Passaic,Passaic,1.00,20.00
19028,D'Carbon Restaurant Hawthorne,2) Draft and Package,142 Goffle Road,Hawthorne,Passaic,Sales,1.00,509.00
20004,Bocaditos Bistro,3) Package Only,710 Madison Ave,Paterson,Passaic,Passaic,1.00,920.00
20010,Riverside Grill(D'carbon),3) Package Only,855 River Street,Paterson,Passaic,Passaic,1.00,428.00
20028,Integrity Masonic,3) Package Only,224 Broadway,Paterson,Passaic,Passaic,1.00,2124.50
20038,Patsy's (A) Tavern,2) Draft and Package,72 7th Ave,Paterson,Passaic,Passaic,1.00,88.00
20046,Circle Cafe (A),3) Package Only,144 Washington St,Paterson,Passaic,Passaic,1.00,3060.00
20048,Downtown Cafe (P),3) Package Only,29 Church St,Paterson,Passaic,Passaic,1.00,320.00
20055,Paruta's (A),2) Draft and Package,89 Market St,Paterson,Passaic,Passaic,1.00,6747.00
20058,Krystal Bar(P) & Liqs.,3) Package Only,123 Highland St,Paterson,Passaic,Passaic,1.00,5394.00
20061,Seguidilla 56 Lounge & Liquors,3) Package Only,227 Park Ave,Paterson,Passaic,Passaic,1.00,11576.00
20075,Griselda Rest.(A),3) Package Only,81 Market Street,Paterson,Passaic,Passaic,1.00,90.00
20081,Hacienda (P),2) Draft and Package,102 Mclean Blvd,Paterson,Passaic,Passaic,1.00,371.00
20089,Carlitto's Bar(P),3) Package Only,402 Main Street,Paterson,Passaic,Passaic,1.00,2766.15
20090,D'classico (P),3) Package Only,58 Ellison St,Paterson,Passaic,Passaic,1.00,2308.10
20100,Serie 92 Bar & Liquor,2) Draft and Package,21 West Broadway,Paterson,Passaic,Sales,1.00,916.00
20102,La Fiesta,3) Package Only,50 Cianci St,Paterson,Passaic,Passaic,1.00,3824.25
20103,Moonlight (P) Lounge,3) Package Only,100 Market St,Paterson,Passaic,Passaic,1.00,363.00
20104,Roses Bar & Liquors,2) Draft and Package,102 Market Street,Paterson,Passaic,Passaic,1.00,1501.00
20108,5th Avenue (P) Tavern,3) Package Only,138 5th Ave,Paterson,Passaic,Passaic,1.00,395.00
20110,The Cathedral Restaurant,3) Package Only,378 Main St,Paterson,Passaic,Passaic,1.00,648.00
20125,El Escondite Bar and Restaurant,2) Draft and Package,243 21st Ave,Paterson,Passaic,Sales,1.00,2313.00
20127,Brothers A&C Pizza (P),3) Package Only,343 21st Avenue,Paterson,Passaic,Passaic,1.00,1159.00
20130,412 Lounge & Latin Bar,2) Draft and Package,410-412 Main St,Paterson,Passaic,Sales,1.00,1999.00
20131,El Fogon Rest,3) Package Only,475 Union Avenue,Paterson,Passaic,Passaic,1.00,3301.00
21005,La Fuente Bar (A),3) Package Only,43 Ellison Street,Paterson,Passaic,Passaic,1.00,461.00
21012,Elks Ldge 333 (Z) Pater.,3) Package Only,272 Ellison St,Paterson,Passaic,Passaic,1.00,1489.40
21014,Ranchito Mi Peru,3) Package Only,487 21st Ave,Paterson,Passaic,Passaic,1.00,8664.94
21020,Rincon Criollo Restaurant,3) Package Only,715 E 18th Street,Paterson,Passaic,Passaic,1.00,10.00
21022,Costa Marina Lounge(A),3) Package Only,182 Market St.,Paterson,Passaic,Passaic,1.00,3257.50
21030,Bonfire Mofongo House (P),3) Package Only,999 Market St,Paterson,Passaic,Passaic,1.00,1207.00
21038,Freddie's Dugout,3) Package Only,16 3rd Ave,Paterson,Passaic,Passaic,1.00,19926.22
21042,Marcet Cafe,3) Package Only,1011 Market St,Paterson,Passaic,Passaic,1.00,263.00
21043,Duffy's Tavern (Z),2) Draft and Package,856 River Street,Paterson,Passaic,Passaic,1.00,18123.55
22001,Lena Y Carbon Restaurant,3) Package Only,201 Market St,Paterson,Passaic,Passaic,1.00,807.00
22004,Neighbors,2) Draft and Package,329 Trenton Avenue,Paterson,Passaic,Passaic,1.00,1029.00
22009,Paterson Fire Dept,2) Draft and Package,226 Walnut Street,Paterson,Passaic,Passaic,1.00,35.00
22013,Hi-Beams (P),3) Package Only,182 Getty Ave,Paterson,Passaic,Passaic,1.00,599.00
22016,Johnny A's (P) Hitchn Pos,2) Draft and Package,95 Barclay Street,Paterson,Passaic,Passaic,1.00,2077.00
22019,Noches De Colombia (Paterson),3) Package Only,365 21st Avenue,Paterson,Passaic,Passaic,1.00,303.00
22021,Super Korona (Z) Bar,3) Package Only,991 Madison Ave,Paterson,Passaic,Passaic,1.00,10128.30
22025,Dulce Patria,2) Draft and Package,913 Main St,Paterson,Passaic,Passaic,1.00,54.00
22031,Roxxie's (P),3) Package Only,324 E Railway Ave,Paterson,Passaic,Passaic,1.00,1101.00
22036,Tease (P),3) Package Only,168 Getty Avenue,Paterson,Passaic,Passaic,1.00,40.00
22044,Los Cristales (Z),3) Package Only,409 21st Ave,Paterson,Passaic,Passaic,1.00,3058.00
22053,Rincon Centroamericano,3) Package Only,197 Market St,Paterson,Passaic,Passaic,1.00,376.00
22065,Mambo Lounge (P),3) Package Only,62-64 Dover St,Paterson,Passaic,Passaic,1.00,1818.00
23001,Bogey's Sport Bar,2) Draft and Package,103 Valley Road,Clifton,Passaic,Passaic,1.00,575.00
23012,Moose Lodge (Z),2) Draft and Package,1268 Main Ave,Clifton,Passaic,Passaic,1.00,170.00
23013,Vfw 7165 (P),2) Draft and Package,491 Valley Rd,Clifton,Passaic,Passaic,1.00,215.00
23015,Disabled Amvets (P),2) Draft and Package,315 Hazel St,Clifton,Passaic,Passaic,1.00,37.00
23020,Clifton City Tavern(P),3) Package Only,709 Van Houten Avenue,Clifton,Passaic,Passaic,1.00,395.00
24006,The Grand Saloon,3) Package Only,940 Van Houten Ave,Clifton,Passaic,Passaic,1.00,157.00
24018,Agave Cantina Mexicana,3) Package Only,421 Piaget Ave,Clifton,Passaic,Passaic,1.00,277.00
24019,Sharky's Wings(P),2) Draft and Package,545 Highland Ave,Clifton,Passaic,Passaic,1.00,1165.00
24022,Applebee's Clifton,2) Draft and Package,375 Rte 3 E,Clifton,Passaic,Passaic,1.00,478.00
24025,The Clif (P),2) Draft and Package,605 Clifton Ave,Clifton,Passaic,Passaic,1.00,1091.00
24026,Rock Bar,2) Draft and Package,414 Main Ave,Clifton,Passaic,Passaic,1.00,1651.00
24027,Mario's Rest,2) Draft and Package,710 Van Houten Ave,Clifton,Passaic,Passaic,1.00,68.00
24029,Dingo's Den (P),2) Draft and Package,615 Van Houten Ave,Clifton,Passaic,Passaic,1.00,1731.00
24030,El Mexicano Rest (P),3) Package Only,1293 Main Ave,Clifton,Passaic,Passaic,1.00,122.00
24031,Tommy's Tavern & Tap (Clifton),2) Draft and Package,826 Route 3 Clifton Nj,Clifton,Passaic,Passaic,1.00,908.00
24032,El Dorado Rest (Z),3) Package Only,255 Parker Ave,Clifton,Passaic,Passaic,1.00,298.00
24034,La Fortaleza (Clifton),3) Package Only,590 Lexington Ave,Clifton,Passaic,Passaic,1.00,494.00
24036,Elks Post (Z) #1569,3) Package Only,775 Clifton Ave,Clifton,Passaic,Passaic,1.00,20.00
24038,J. Alexander's Restaurant,2) Draft and Package,405 Allwood Road,Clifton,Passaic,Passaic,1.00,234.00
24039,Veterans Post (9),2) Draft and Package,147 Huron Ave,Clifton,Passaic,Passaic,1.00,228.00
24042,Made in Miami Bar Bistro,2) Draft and Package,39 Harding Ave,Clifton,Passaic,Passaic,1.00,72.00
24043,Valley Regency,3) Package Only,1129 Valley Road,Clifton,Passaic,Passaic,1.00,262.00
24045,Red Robin Gourmet Burger (Clifton),2) Draft and Package,265 Rt 3 East,Clifton,Passaic,Passaic,1.00,3.00
24048,Dante's,2) Draft and Package,955 Valley Rd,Clifton,Passaic,Passaic,1.00,206.00
24049,Hornitos Bakery,2) Draft and Package,1094 Main Ave.,Clifton,Passaic,Sales,1.00,42.00
24051,La Bonita,2) Draft and Package,394 Lexington Ave.,Clifton,Passaic,Sales,1.00,13889.39
24054,Upper Montclair Cc (A),2) Draft and Package,177 Hepburn Rd,Clifton,Passaic,Passaic,1.00,336.00
24056,Jaime's (A),3) Package Only,915 Bloomfield Ave,Clifton,Passaic,Passaic,1.00,255.00
24057,Mighty Quinns Bbq,2) Draft and Package,850 Rte 3 West (Ste 115),Clifton,Passaic,Passaic,1.00,43.00
