Sales Rep Assigned,Customer Num,Customer Name,Product Num,Product Name,Product Type,Package,Brand Family,Date,Buyer Count   8/1/2026 - 9/30/2026,Placement Count   8/1/2026 - 9/30/2026,Cases   8/1/2026 - 9/30/2026
Derrick Laws,21050,Quis Queya Liquor(P),83054,Lytt Long Island Iced Tea 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/6/2026,1.00,1.00,1
Derrick Laws,21050,Quis Queya Liquor(P),83055,Lytt Grape 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/6/2026,1.00,1.00,1
Derrick Laws,23004,Shop Rite Wines/Spirits,83056,Lytt Blue Raspberry 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/7/2026,1.00,1.00,1
Derrick Laws,15020,Angel's Wine & Liquors,83053,Lytt Peach Mango 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/5/2026,1.00,1.00,2
Derrick Laws,20080,Raphael & Angel Liq (A),83056,Lytt Blue Raspberry 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/5/2026,1.00,1.00,1
Derrick Laws,15037,Liquor Gallery (Paterson),83056,Lytt Blue Raspberry 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/5/2026,1.00,1.00,1
Derrick Laws,22022,C Town (A),83054,Lytt Long Island Iced Tea 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/7/2026,1.00,1.00,1
Derrick Laws,21050,Quis Queya Liquor(P),83053,Lytt Peach Mango 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/6/2026,1.00,1.00,1
Derrick Laws,15020,Angel's Wine & Liquors,83054,Lytt Long Island Iced Tea 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/5/2026,1.00,1.00,2
Derrick Laws,20080,Raphael & Angel Liq (A),83054,Lytt Long Island Iced Tea 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/5/2026,1.00,1.00,1
Derrick Laws,15013,El Oasis,83051,Lytt Tropical Punch 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/7/2026,1.00,1.00,1
Derrick Laws,21050,Quis Queya Liquor(P),83056,Lytt Blue Raspberry 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/6/2026,1.00,1.00,1
Derrick Laws,15020,Angel's Wine & Liquors,83055,Lytt Grape 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/5/2026,1.00,1.00,2
Derrick Laws,15037,Liquor Gallery (Paterson),83055,Lytt Grape 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/5/2026,1.00,1.00,1
Derrick Laws,20080,Raphael & Angel Liq (A),83051,Lytt Tropical Punch 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/5/2026,1.00,1.00,1
Derrick Laws,21048,Ferraro's Liquor,83053,Lytt Peach Mango 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/5/2026,1.00,1.00,1
Derrick Laws,15013,El Oasis,83053,Lytt Peach Mango 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/7/2026,1.00,1.00,1
Derrick Laws,15013,El Oasis,83056,Lytt Blue Raspberry 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/7/2026,1.00,1.00,1
Derrick Laws,15013,El Oasis,83054,Lytt Long Island Iced Tea 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/7/2026,1.00,1.00,1
Derrick Laws,21050,Quis Queya Liquor(P),83051,Lytt Tropical Punch 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/6/2026,1.00,1.00,1
Derrick Laws,15020,Angel's Wine & Liquors,83052,Lytt Strawberry Rita 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/5/2026,1.00,1.00,2
Derrick Laws,20080,Raphael & Angel Liq (A),83055,Lytt Grape 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/5/2026,1.00,1.00,1
Derrick Laws,20025,Mercer Bar & Liquors,83052,Lytt Strawberry Rita 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/5/2026,1.00,1.00,1
Derrick Laws,20080,Raphael & Angel Liq (A),83053,Lytt Peach Mango 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/5/2026,1.00,1.00,1
Derrick Laws,15037,Liquor Gallery (Paterson),83054,Lytt Long Island Iced Tea 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/5/2026,1.00,1.00,1
Derrick Laws,21048,Ferraro's Liquor,83055,Lytt Grape 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/5/2026,1.00,1.00,1
Javier Melo,20069,Segundo's (P),83056,Lytt Blue Raspberry 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/6/2026,1.00,1.00,1
Javier Melo,20055,Paruta's (A),83051,Lytt Tropical Punch 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/4/2026,1.00,1.00,1
Javier Melo,15059,Belmont Liqrs (P),83054,Lytt Long Island Iced Tea 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/6/2026,1.00,1.00,1
Javier Melo,20055,Paruta's (A),83055,Lytt Grape 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/4/2026,1.00,1.00,1
Javier Melo,20069,Segundo's (P),83053,Lytt Peach Mango 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/6/2026,1.00,1.00,1
Javier Melo,20069,Segundo's (P),83055,Lytt Grape 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/6/2026,1.00,1.00,1
Javier Melo,20069,Segundo's (P),83052,Lytt Strawberry Rita 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/6/2026,1.00,1.00,1
Javier Melo,15059,Belmont Liqrs (P),83052,Lytt Strawberry Rita 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/6/2026,1.00,1.00,1
Javier Melo,20069,Segundo's (P),83051,Lytt Tropical Punch 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/6/2026,1.00,1.00,1
Javier Melo,15059,Belmont Liqrs (P),83051,Lytt Tropical Punch 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/6/2026,1.00,1.00,1
Javier Melo,25047,Parker Liquors (Z),83054,Lytt Long Island Iced Tea 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/5/2026,1.00,1.00,1
Javier Melo,20069,Segundo's (P),83054,Lytt Long Island Iced Tea 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/6/2026,1.00,1.00,1
Javier Melo,20055,Paruta's (A),83054,Lytt Long Island Iced Tea 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/4/2026,1.00,1.00,1
Jayson Romine,191408,Super Saver Liq,83052,Lytt Strawberry Rita 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/6/2026,1.00,1.00,1
Jayson Romine,230905,ShopRite Wines & Spirits of Franklin,83056,Lytt Blue Raspberry 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/5/2026,1.00,1.00,1
Jayson Romine,191010,Liquor Factory II Jefferson,83051,Lytt Tropical Punch 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/5/2026,1.00,1.00,1
Jayson Romine,191302,Liquor Factory I Landing,83056,Lytt Blue Raspberry 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/6/2026,1.00,1.00,1
Jayson Romine,230105,ShopRite Wines & Spirits of Sparta,83055,Lytt Grape 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/5/2026,1.00,1.00,1
Jayson Romine,230911,The Right Bottle,83054,Lytt Long Island Iced Tea 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/5/2026,1.00,1.00,1
Jayson Romine,230412,USA Wine Traders Club Of Newton (A),83056,Lytt Blue Raspberry 1/24/6.8 oz Btl,Case Beer,1/24/6.8oz BTL,Lytt,8/4/2026,1.00,1.00,1
