Sales Rep Assigned,Customer Num,Customer Name,Product Num,Product Name,Product Type,Package,Brand Family,Date,Buyer Count   8/1/2026 - 8/31/2026,Placement Count   8/1/2026 - 8/31/2026,Case Equivalents   8/1/2026 - 8/31/2026,Units   8/1/2026 - 8/31/2026
Allison Scott,7003,Blu Ale House,5805,Point Whole Hog Pumpkin Ale 7.75 Gal Keg,Keg Beer,1/4 BBL Keg (7.75 Gal),Whole Hog,8/25/2026,1.00,1.00,3.44,1.00
Allison Scott,8006,pompton crafthouse,11665,Southern Tier Maple Warlock Imperial Pumpkin Stout 6/4/12 oz Btl,Case Beer,6/4/12oz NR,Southern Tier,8/14/2026,1.00,1.00,1.00,1.00
Allison Scott,12057,YARD HOUSE 8384,5805,Point Whole Hog Pumpkin Ale 7.75 Gal Keg,Keg Beer,1/4 BBL Keg (7.75 Gal),Whole Hog,8/11/2026,1.00,1.00,10.33,3.00
Allison Scott,15036,River Terrace Inn(P),5830,Point Whole Hog Pumpkin Ale 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Whole Hog,8/19/2026,1.00,1.00,3.00,3.00
Allison Scott,11011,Sunset Pub & Grill(Z),5805,Point Whole Hog Pumpkin Ale 7.75 Gal Keg,Keg Beer,1/4 BBL Keg (7.75 Gal),Whole Hog,8/25/2026,1.00,1.00,3.44,1.00
Allison Scott,12057,YARD HOUSE 8384,10506,Weihenstephan Festbier 13.2 Gal Keg,Keg Beer,50 Liter Keg (13.2 Gal),Weihenstephaner,8/25/2026,1.00,1.00,29.35,5.00
Allison Scott,12057,YARD HOUSE 8384,10506,Weihenstephan Festbier 13.2 Gal Keg,Keg Beer,50 Liter Keg (13.2 Gal),Weihenstephaner,8/11/2026,1.00,1.00,5.87,1.00
Allison Scott,8015,Thatcher Mc Ghees (A),5805,Point Whole Hog Pumpkin Ale 7.75 Gal Keg,Keg Beer,1/4 BBL Keg (7.75 Gal),Whole Hog,8/25/2026,1.00,1.00,3.44,1.00
Andrew Lundy,250048,Park Beverage,674,Montauk Pumpkin Ale 4/6/12 oz Can,Case Beer,4/6/12oz Can,Montauk,8/19/2026,1.00,1.00,5.00,5.00
Andrew Lundy,250084,Parkway Liquors(P),674,Montauk Pumpkin Ale 4/6/12 oz Can,Case Beer,4/6/12oz Can,Montauk,8/19/2026,1.00,1.00,2.00,2.00
Andrew Lundy,150133,The Wine Rack Millburn,10417,Paulaner Oktoberfest Marzen 4/6/11.2 oz Btl,Case Beer,4/6/11.2oz NR,Paulaner,8/21/2026,1.00,1.00,2.80,3.00
Andrew Lundy,250048,Park Beverage,5324,Great Lakes Oktoberfest 4/6/12 oz Can,Case Beer,4/6/12oz Can,Great Lakes,8/12/2026,1.00,1.00,3.00,3.00
Andrew Lundy,250027,Wine Anthology (A),8235,Doc's Pumpkin Cider (Fall) 6/4/16 oz Can,Case Cider,6/4/16oz Can,Doc's,8/5/2026,1.00,1.00,4.00,3.00
Andrew Lundy,250136,M & M Liquors,3320,Hofbrau Oktoberfest 4/6/11.2 oz Btl,Case Beer,4/6/11.2oz NR,Hofbrau Usa,8/5/2026,1.00,1.00,0.93,1.00
Andrew Lundy,251005,Home Wines & Liquors (360 Union),3320,Hofbrau Oktoberfest 4/6/11.2 oz Btl,Case Beer,4/6/11.2oz NR,Hofbrau Usa,8/5/2026,1.00,1.00,0.93,1.00
Andrew Lundy,150249,Millburn Standard,5805,Point Whole Hog Pumpkin Ale 7.75 Gal Keg,Keg Beer,1/4 BBL Keg (7.75 Gal),Whole Hog,8/4/2026,1.00,1.00,6.89,2.00
Andrew Lundy,250011,Shop Rite of Westfield,5830,Point Whole Hog Pumpkin Ale 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Whole Hog,8/14/2026,1.00,1.00,10.00,10.00
Andrew Lundy,250027,Wine Anthology (A),3320,Hofbrau Oktoberfest 4/6/11.2 oz Btl,Case Beer,4/6/11.2oz NR,Hofbrau Usa,8/5/2026,1.00,1.00,2.80,3.00
Andrew Lundy,250071,Total Wine & More (Union),3330,Hofbrau Oktoberfest 2/5 L Keg Can,Case Beer,2/5 Liter Keg,Hofbrau Usa,8/14/2026,1.00,1.00,60.21,51.00
Andrew Lundy,250023,Bottle King Springfield,3330,Hofbrau Oktoberfest 2/5 L Keg Can,Case Beer,2/5 Liter Keg,Hofbrau Usa,8/19/2026,1.00,1.00,2.36,2.00
Andrew Lundy,250037,Beno's Liq (A),3320,Hofbrau Oktoberfest 4/6/11.2 oz Btl,Case Beer,4/6/11.2oz NR,Hofbrau Usa,8/13/2026,1.00,1.00,0.93,1.00
Andrew Lundy,250011,Shop Rite of Westfield,3330,Hofbrau Oktoberfest 2/5 L Keg Can,Case Beer,2/5 Liter Keg,Hofbrau Usa,8/14/2026,1.00,1.00,9.44,8.00
Andrew Lundy,250161,The Wine Rack Summit,674,Montauk Pumpkin Ale 4/6/12 oz Can,Case Beer,4/6/12oz Can,Montauk,8/12/2026,1.00,1.00,5.00,5.00
