cust,name,rep,premise,city,brand,package,prog_cases,post_cases,rebuys
13015,Rare The Steakhouse (Z),Allison Scott,On Premise,Little Falls,Coors Light,24/12oz NR,3,2,2
13015,Rare The Steakhouse (Z),Allison Scott,On Premise,Little Falls,Lite,24/12oz NR,5,1,1
13015,Rare The Steakhouse (Z),Allison Scott,On Premise,Little Falls,Peroni,1/4 BBL Keg (7.75 Gal),3,2,2
13015,Rare The Steakhouse (Z),Allison Scott,On Premise,Little Falls,Peroni,4/6/11.2oz NR,1,0,0
13016,THE TIES,Allison Scott,On Premise,Little Falls,Coors Light,15.5 Gal Keg,6,0,0
13016,THE TIES,Allison Scott,On Premise,Little Falls,Coors Light,24/12oz NR,20,12,3
13016,THE TIES,Allison Scott,On Premise,Little Falls,Lite,15.5 Gal Keg,4,2,1
13016,THE TIES,Allison Scott,On Premise,Little Falls,Lite,24/12oz NR,57,20,4
13016,THE TIES,Allison Scott,On Premise,Little Falls,Lite,2/12/12oz NR,6,0,0
13018,Chili's Little Falls,Allison Scott,On Premise,Little Falls,Coors Light,1/4 BBL Keg (7.75 Gal),7,5,4
13018,Chili's Little Falls,Allison Scott,On Premise,Little Falls,Coors Light,24/12oz NR,4,0,0
13018,Chili's Little Falls,Allison Scott,On Premise,Little Falls,Lite,1/4 BBL Keg (7.75 Gal),7,5,4
13018,Chili's Little Falls,Allison Scott,On Premise,Little Falls,Lite,24/12oz NR,1,0,0
14002,Applebee's (Totowa) (A),Allison Scott,On Premise,Totowa,Coors Light,15.5 Gal Keg,8,4,2
14002,Applebee's (Totowa) (A),Allison Scott,On Premise,Totowa,Coors Light,24/12oz NR,3,2,2
14002,Applebee's (Totowa) (A),Allison Scott,On Premise,Totowa,Lite,15.5 Gal Keg,8,3,3
14002,Applebee's (Totowa) (A),Allison Scott,On Premise,Totowa,Lite,24/12oz NR,4,1,1
14003,Murph's Bar & Liquor,Allison Scott,On Premise,Totowa,Coors,15.5 Gal Keg,3,3,2
14003,Murph's Bar & Liquor,Allison Scott,On Premise,Totowa,Coors Light,24/12oz NR,202,100,8
14003,Murph's Bar & Liquor,Allison Scott,On Premise,Totowa,Coors Light,2/12/12oz Can,42,12,5
14003,Murph's Bar & Liquor,Allison Scott,On Premise,Totowa,Coors Light,24/16oz Btl,25,0,0
14003,Murph's Bar & Liquor,Allison Scott,On Premise,Totowa,Lite,15.5 Gal Keg,6,9,5
14003,Murph's Bar & Liquor,Allison Scott,On Premise,Totowa,Lite,24/12oz NR,270,130,7
14003,Murph's Bar & Liquor,Allison Scott,On Premise,Totowa,Lite,24/16oz Btl,95,0,0
14003,Murph's Bar & Liquor,Allison Scott,On Premise,Totowa,Peroni,15.5 Gal Keg,11,10,5
14003,Murph's Bar & Liquor,Allison Scott,On Premise,Totowa,Peroni,1/4 BBL Keg (7.75 Gal),1,0,0
14004,Sushi Lounge,Allison Scott,On Premise,Totowa,Lite,24/12oz NR,14,10,5
14004,Sushi Lounge,Allison Scott,On Premise,Totowa,Peroni,15.5 Gal Keg,2,1,1
14005,The Grand,Allison Scott,On Premise,Totowa,Coors Light,24/12oz NR,35,25,5
14005,The Grand,Allison Scott,On Premise,Totowa,Lite,24/12oz NR,34,32,5
14006,46 Lounge (P),Allison Scott,On Premise,Totowa,Coors Light,24/16oz Btl,2,5,2
14008,The Barnyard and Carriage House,Allison Scott,On Premise,Totowa,Coors Light,15.5 Gal Keg,10,5,1
14008,The Barnyard and Carriage House,Allison Scott,On Premise,Totowa,Coors Light,24/12oz NR,10,0,0
14008,The Barnyard and Carriage House,Allison Scott,On Premise,Totowa,Lite,24/12oz NR,20,30,3
14008,The Barnyard and Carriage House,Allison Scott,On Premise,Totowa,Peroni,4/6/11.2oz NR,1,5,1
14010,Uncorked (P),Allison Scott,On Premise,Totowa,Coors Light,24/12oz NR,32,16,4
14010,Uncorked (P),Allison Scott,On Premise,Totowa,Lite,24/12oz NR,26,16,4
14010,Uncorked (P),Allison Scott,On Premise,Totowa,Peroni,4/6/11.2oz NR,14,4,2
14017,The Chariot,Allison Scott,On Premise,Totowa,Coors Light,24/12oz NR,5,10,1
