customer_num,name,premise,address,county,area,rep,dm
15018,Diana's Bar (Z),On,235 Grand St,Passaic,Passaic,Pablo Lopez,Denise Montes
15020,Angel's Wine & Liquors,Off,78 North 6th St,Passaic,Passaic,Derrick Laws,Denise Montes
15023,Santana's Sport(P)Bella,Off,215 Market St,Passaic,Passaic,Derrick Laws,Denise Montes
15025,Corona Bar (Z) & Liquors,On,439 Totowa Ave,Passaic,Passaic,Pablo Lopez,Denise Montes
15030,EL BOHEMIO 2 LIQUOR STORE & BAR,Off,92 Belmont Ave,Passaic,Passaic,Pablo Lopez,Denise Montes
15031,Pete's Family Liqs,Off,49 N Main Street,Passaic,Passaic,Javier Melo,Denise Montes
15033,Caliente Bar & Liq (P),On,195 Preakness Ave,Passaic,Passaic,Derrick Laws,Denise Montes
15034,Allen's Liquors,Off,209 Mcbride Ave,Passaic,Passaic,Pablo Lopez,Denise Montes
15036,River Terrace Inn(P),On,36 Totowa Ave,Passaic,Passaic,Allison Scott,Chris McCrohan
15037,Liquor Gallery (Paterson),Off,459 Mcbride Ave,Passaic,Passaic,Derrick Laws,Denise Montes
15040,Legacy Bar & Liquor,Off,1019 Mcbride Ave,Passaic,Passaic,Pablo Lopez,Denise Montes
15044,Carlos Sports Bar & Rest,On,476 Mcbride Ave,Passaic,Passaic,Pablo Lopez,Denise Montes
15045,Bacchus Sport Bar & Grill,On,176 Union Ave,Passaic,Passaic,Pablo Lopez,Denise Montes
15046,Romo Restaurant,On,177 3rd Ave,Passaic,Passaic,Pablo Lopez,Denise Montes
15047,Freddie's Corner,Off,295 Mt Pleasant Ave,Passaic,Passaic,Pablo Lopez,Denise Montes
15048,D'carbon Restaurant,On,491 Mcbride Ave,Passaic,Passaic,Allison Scott,Chris McCrohan
15049,Francesco's In The Park,On,568 Mc Bride Ave,Passaic,Passaic,Robin Feldman,Chris McCrohan
15051,New Tower Lounge,Off,119 West Broadway,Passaic,Passaic,Pablo Lopez,Denise Montes
15053,Wrights Tavern(Z),On,80 Montgomery St,Passaic,Passaic,Office Tell Sell,Chris McCrohan
15054,Blue Palace (A),On,4 North Bridge Street,Passaic,Passaic,Office Tell Sell,Chris McCrohan
15059,Belmont Liqrs (P),Off,146 Belmont Avenue,Passaic,Passaic,Javier Melo,Denise Montes
15061,Boulevard Wine & Spirits,Off,467 Union Ave,Passaic,Passaic,Pablo Lopez,Denise Montes
15062,Ragtime Gentlemen's Club,On,821 Mcbride Avenue,Passaic,Passaic,Pablo Lopez,Denise Montes
15067,Naxos Estiatorio,On,1738 Rt 46 W,Passaic,Passaic,Allison Scott,Chris McCrohan
15069,Mexico Bar & Grill,On,246 Mcbride Ave,Passaic,Passaic,Derrick Laws,Denise Montes
15070,Brownstone House,On,351 W Broadway,Passaic,Passaic,Allison Scott,Chris McCrohan
15074,Bask 46,On,1530 Rt 46 West,Passaic,Passaic,Allison Scott,Chris McCrohan
15077,E & V (A) Restaurant,On,320 Chamberlain Ave,Passaic,Passaic,Robin Feldman,Chris McCrohan
15079,American Lgn Totowa,On,180 Union Blvd,Passaic,Passaic,Robin Feldman,Chris McCrohan
15081,Evolution Restaurant & Bar,On,279 W Browertown Rd,Passaic,Passaic,Robin Feldman,Chris McCrohan
15083,Amazon Fresh (Woodland Park),Off,1510 Route 49,Passaic,Passaic,Jim Heaney,Denise Montes
15085,Reign,On,138 Belmont Ave,Passaic,Passaic,Javier Melo,Denise Montes
17001,Underdog Lounge(P),On,4 Church Street,Passaic,Passaic,Allison Scott,Chris McCrohan
17002,Hillcrest Liqrs (A),Off,168 Union Ave,Passaic,Passaic,Derrick Laws,Denise Montes
17003,D'CARBON BAR AND GRILL haledon,On,529 Belmont Ave,Passaic,Passaic,Allison Scott,Chris McCrohan
17006,The Yard,On,289 Belmont Ave,Passaic,Passaic,Allison Scott,Chris McCrohan
17009,Jimmy Geez (P),On,436 Belmont Ave,Passaic,Passaic,Allison Scott,Chris McCrohan
17010,Frank's Fine Wine & Foods,Off,431 Belmont Ave,Passaic,Passaic,Mike Ast,Paul Deady
17011,Nico's Wine & Spirits,Off,408 Haledon Ave,Passaic,Passaic,Mike Ast,Paul Deady
17012,Speedy Mart (P),Off,311 Haledon Ave,Passaic,Passaic,Mike Ast,Paul Deady
17013,Joe's pub,On,383 Belmont Ave,Passaic,Sales,Mike Ast,Paul Deady
17015,Haledon Fire Dept(A),On,522 W Broadway,Passaic,Passaic,Robin Feldman,Chris McCrohan
17017,Veterans Club (Z),On,417 Roe Street,Passaic,Passaic,Robin Feldman,Chris McCrohan
17019,La Neves (P),On,276 Belmont Ave,Passaic,Passaic,Robin Feldman,Chris McCrohan
17023,D'Carbon BBQ B&G Haledon,On,237 Haledon Ave,Passaic,Sales,Allison Scott,Chris McCrohan
17026,Wine Dad's Jersey City,Off,273 16th St.,Hudson,Hudson,Jaime Colonna,Mike Kennedy
17027,FOOD BAZAAR,Off,1425 John F. Kennedy Blvd,Hudson,Hudson,Dylan Rubino,Mike Kennedy
17029,Wine Dad's - Summit Ave Jersey City,Off,425 Summit Ave,Hudson,Hudson,Jaime Colonna,Mike Kennedy
18001,Grand Opening Liq (A)_2,Off,1068 High Mountain Road,Passaic,Passaic,Mike Ast,Paul Deady
18002,Cinco De Mayo,On,371 High Mt Road,Passaic,Passaic,Mike Ast,Paul Deady
18005,Giuseppe (P) Rest.,On,5 Sicomac Road,Passaic,Passaic,Robin Feldman,Chris McCrohan
18007,The Tides,On,1245 Belmont Ave,Passaic,Passaic,Robin Feldman,Chris McCrohan
18008,Papa Joe's (Z),On,778 Belmont Ave,Passaic,Passaic,Robin Feldman,Chris McCrohan
19002,Puzo's Pizza,On,4 Garfield Ave,Passaic,Passaic,Allison Scott,Chris McCrohan
19004,Shortways' Barn (A),On,991 Goffle Road,Passaic,Passaic,Allison Scott,Chris McCrohan
19005,Celtic Corner,On,312 Lafayette Ave,Passaic,Passaic,Allison Scott,Chris McCrohan
19006,Blackjack Mulligans (Hawthorne),On,237 Diamond Bridge Ave,Passaic,Passaic,Allison Scott,Chris McCrohan
19008,Hawthorne Liq (A),Off,610 Lafayette Ave,Passaic,Passaic,Mike Ast,Paul Deady
19009,Diamond Liquor,Off,203 Diamond Bridge Ave,Passaic,Passaic,Mike Ast,Paul Deady
19011,Las Maravillas Restaurant,On,410 Wagaraw Road,Passaic,Passaic,Allison Scott,Chris McCrohan
19012,Bottagra Rest (P),On,80 Wagaraw Road,Passaic,Passaic,Allison Scott,Chris McCrohan
19014,Macaluso's (P),On,55 4th Ave,Passaic,Passaic,Robin Feldman,Chris McCrohan
19016,Jiggle's,On,105 Mohawk Ave,Passaic,Passaic,Allison Scott,Chris McCrohan
19021,The Front Porch (Z),On,217 Wagaraw Road,Passaic,Passaic,Allison Scott,Chris McCrohan
19025,Riverside Veteran,On,123 Royal Avenue,Passaic,Passaic,Robin Feldman,Chris McCrohan
19027,Goffle Road Wine and More,Off,1100 Goffle Rd,Passaic,Passaic,Mike Ast,Paul Deady
19028,D'Carbon Restaurant Hawthorne,On,142 Goffle Road,Passaic,Sales,Allison Scott,Chris McCrohan
20004,Bocaditos Bistro,On,710 Madison Ave,Passaic,Passaic,Pablo Lopez,Denise Montes
20005,La Sorpresa Liq (P),Off,115 4th Ave,Passaic,Passaic,Derrick Laws,Denise Montes
20010,Riverside Grill(D'carbon),On,855 River Street,Passaic,Passaic,Allison Scott,Chris McCrohan
