customer_num,name,premise,address,county,area,rep,dm
13002,The Little Falls Tavern,On,131 Newark Pompton Turnpike,Passaic,Passaic,Allison Scott,Chris McCrohan
13003,Maggie's Town Tav.(P),On,10 Van Ness Ave,Passaic,Passaic,Allison Scott,Chris McCrohan
13005,Sear,On,1 Route 23 South,Passaic,Passaic,Allison Scott,Chris McCrohan
13007,American Lgn 108 (Z) Little Falls,On,591 Main St,Passaic,Passaic,Robin Feldman,Chris McCrohan
13008,Little Falls Liq(P),Off,315 Main Street,Passaic,Passaic,Jim Heaney,Denise Montes
13013,Amer Lgn L Falls (Z),On,55 Van Ness Ave,Passaic,Passaic,Allison Scott,Chris McCrohan
13014,Park West Diner,On,1400 Rt 46 W.,Passaic,Sales,Robin Feldman,Chris McCrohan
13015,Rare The Steakhouse (Z),On,440 Main Street,Passaic,Passaic,Allison Scott,Chris McCrohan
13016,THE TIES,On,4 Woodhull Ave,Passaic,Sales,Allison Scott,Chris McCrohan
13017,On The Rocks,Off,101 Newark Pompton Turnpike,Passaic,Passaic,Jim Heaney,Denise Montes
13018,Chili's Little Falls,On,1165 Rte 46 East,Passaic,Passaic,Allison Scott,Chris McCrohan
14001,Wine & Bev. Depot (A),Off,823 Riverview Dr N,Passaic,Passaic,Jim Heaney,Denise Montes
14002,Applebee's (Totowa) (A),On,465 Rt 46 West,Passaic,Passaic,Allison Scott,Chris McCrohan
14003,Murph's Bar & Liquor,On,375 Union Blvd,Passaic,Passaic,Allison Scott,Chris McCrohan
14004,Sushi Lounge,On,235 Us-46,Passaic,Passaic,Allison Scott,Chris McCrohan
14005,The Grand,On,38 Lackwanna Av,Passaic,Passaic,Allison Scott,Chris McCrohan
14006,46 Lounge (P),On,300 Us-46,Passaic,Passaic,Allison Scott,Chris McCrohan
14007,Total Wine & More (Totowa),Off,465 US Highway 46,Passaic,Passaic,Dave Ehlers,Mike Engel
14008,The Barnyard and Carriage House,On,754 Totowa Road,Passaic,Passaic,Allison Scott,Chris McCrohan
14010,Uncorked (P),On,650 Union Blvd,Passaic,Passaic,Allison Scott,Chris McCrohan
14013,Elks Post 2111 (A),On,1 Fellner Place,Passaic,Passaic,Robin Feldman,Chris McCrohan
14016,JINYA Ramen Bar,On,465 Rt 46 West,Passaic,Passaic,Allison Scott,Chris McCrohan
14017,The Chariot,On,555 Preakness Ave,Passaic,Passaic,Allison Scott,Chris McCrohan
15002,Cost Plus,Off,1730 Rt 46,Passaic,Passaic,Office Tell Sell,Chris McCrohan
15004,Blackjack Mulligan's Public House,On,1145 Mcbride Ave,Passaic,Passaic,Allison Scott,Chris McCrohan
15006,Great Notch Inn(Z),On,400 Us 46 West,Passaic,Passaic,Allison Scott,Chris McCrohan
15008,Westmount Country Club,On,728 Rifle Camp Road,Passaic,Passaic,Derrick Laws,Denise Montes
15012,Pal's Liquor,Off,241 Union Ave,Passaic,Passaic,Derrick Laws,Denise Montes
15013,El Oasis,Off,450 Union Ave,Passaic,Passaic,Derrick Laws,Denise Montes
15014,Deli Parchardo Liquors,Off,111 N Main St,Passaic,Passaic,Javier Melo,Denise Montes
15016,Gene's Liquor,Off,26 N Straight St,Passaic,Passaic,Pablo Lopez,Denise Montes
