Sales Rep Assigned,Customer Num,Customer Name,Buyer Count   2026
Nick Melissari,31047,Jarana,1.00
Nick Melissari,31054,Burger Shack,1.00
Nick Melissari,31042,Residence Inn East Rutherford,1.00
Nick Melissari,41033,Applebee's (A) Hackensack,1.00
Nick Melissari,30012,Elks Post 547 (A),1.00
Nick Melissari,49063,COV,1.00
Nick Melissari,31026,Rockafella's,1.00
Nick Melissari,92013,Varka,1.00
Nick Melissari,94002,Trovato's Due (Z),1.00
Nick Melissari,77003,Blue 42 Restaurant & Bar,1.00
Nick Melissari,41026,Amc- Shops @ Riverside P,1.00
Nick Melissari,35005,Chile,1.00
Nick Melissari,79001,Victor's Maywood Inn,1.00
Nick Melissari,80007,The Orange Lantern,1.00
Nick Melissari,28009,1 Republik,1.00
Nick Melissari,37070,The Hive Bar & Bistro,1.00
