Sales Rep Assigned,Customer Num,Customer Name,Buyer Count   2026
Matt Powierski,77014,Blvd Bar & Grill (Z),1.00
Matt Powierski,77011,Asu Mare Peru Restobar,1.00
Matt Powierski,42017,Cast Iron Pot Signature,1.00
Matt Powierski,36031,Ayla Restaurant & Bar,1.00
Matt Powierski,42014,Segovia Steak House(A),1.00
Michael Harboy,12003,Whole Foods Market (Wayne),1.00
Mike Ast,83009,Jalapeno Mex. Grille(A),1.00
Mike Ast,83005,Glen Rock Inn,1.00
Mike Ast,84022,Park West Tavern,1.00
Mike Ast,87006,Hohokus Inn & Tavern,1.00
Mike Ast,84009,Mac Murphy,1.00
Mike Ast,18002,Cinco De Mayo,1.00
Mike Ast,84006,Roots Ridgewood (A),1.00
Mike Ast,84012,Bareburger (Ridgewood),1.00
Mike Ast,83008,Glen Rock Ac Clb(P),1.00
Mike Ast,95001,Pazza,1.00
Mike Ast,84015,The Office 2131 Ridgewood,1.00
Mike Ast,83011,Stone & Rail,1.00
Mike Ast,84007,Steel Wheel Tavern,1.00
Nick Melissari,92005,Kinchley's,1.00
Nick Melissari,31055,The Game Room,1.00
Nick Melissari,39017,Bj's Rest & Brewhouse(A),1.00
Nick Melissari,89002,Allendale Bar & Grill,1.00
Nick Melissari,31011,Blarney Station,1.00
Nick Melissari,92006,Chili's Ramsey (A),1.00
Nick Melissari,37011,The Firehouse,1.00
Nick Melissari,28031,Shawn's Crazy Saloon,1.00
Nick Melissari,80009,Houlihans (Para)(A),1.00
Nick Melissari,78014,Longhorn Steak Rochele Pk,1.00
Nick Melissari,29028,Angelo's Restaurant,1.00
Nick Melissari,88008,American Lgn (P) (Waldwick),1.00
Nick Melissari,32008,Steve's Bar & Grill (A),1.00
Nick Melissari,41016,Cheesecake Fact (A)Hacken,1.00
Nick Melissari,49040,Healing Karaoke,1.00
Nick Melissari,40025,Pf Changs China Bis(A) (Hackensack),1.00
Nick Melissari,37012,Sportsmens (P) Tavern,1.00
Nick Melissari,88007,Charlie's Place,1.00
Nick Melissari,31048,Song'E Napule,1.00
Nick Melissari,37019,BJ Polonia,1.00
Nick Melissari,32005,Biggies (A),1.00
Nick Melissari,37005,Charlies Tav(Z),1.00
Nick Melissari,94005,Cenzino's (P),1.00
Nick Melissari,49015,PYEONGANDONG,1.00
Nick Melissari,31053,Little Sheep Restaurant/Bar,1.00
Nick Melissari,37004,Tres Agaves,1.00
Nick Melissari,46007,Kumade,1.00
Nick Melissari,34017,Ktb Coffee Shop,1.00
Nick Melissari,92012,The Shannon Rose/Ramsey,1.00
Nick Melissari,93002,Roxanne's A),1.00
Nick Melissari,19006,Blackjack Mulligans (Hawthorne),1.00
Nick Melissari,94010,Portobello Banquets,1.00
Nick Melissari,32010,Segovia Meson,1.00
Nick Melissari,39018,Texas Roadhouse,1.00
Nick Melissari,89001,Savini Rest (A),1.00
Nick Melissari,31056,H Mart Inc (Space A103),1.00
Nick Melissari,41013,Viva Margarita Hackensack,1.00
Nick Melissari,31043,House of Que (East Rutherford),1.00
Nick Melissari,93008,Nonna's Pizza,1.00
Nick Melissari,88006,Andrea's Restaurant,1.00
Nick Melissari,31024,Castle Billiards (Z),1.00
Nick Melissari,94003,Segovia Tavern,1.00
Nick Melissari,29019,Mickey's Bar & Grill (Z),1.00
Nick Melissari,30026,Simulcast,1.00
Nick Melissari,49049,The Metropolitan Lounge,1.00
Nick Melissari,93014,Double Tree By Hilton,1.00
Nick Melissari,49013,Cuba 57,1.00
Nick Melissari,49064,Bareburger (Edgewater),1.00
Nick Melissari,96010,Aldo's Italian Rest(Z),1.00
Nick Melissari,38002,Satin Dolls (A),1.00
Nick Melissari,31052,Mozzarella Bar,1.00
Nick Melissari,41031,Houstons (A)Hackensack,1.00
Nick Melissari,32026,Gianna's (Z),1.00
Nick Melissari,31051,Around The Clock Diner,1.00
Nick Melissari,38039,Hilltop Tav.(Z),1.00
Nick Melissari,80003,The Capital Grille (A),1.00
Nick Melissari,49043,De Novo European Pub,1.00
Nick Melissari,40024,Maggiano's Little(A)Italy,1.00
Nick Melissari,92004,Brothers Smokehouse,1.00
Nick Melissari,92003,Bar Boutique,1.00
Nick Melissari,34002,Heights Bar (P),1.00
Nick Melissari,29021,Uncle Vinnys Bar & Grill,1.00
Nick Melissari,49004,Dino's Bar & Grill,1.00
Nick Melissari,93005,Mason Jar Restaurant,1.00
Nick Melissari,37045,Los Cantaritos Cantina,1.00
Nick Melissari,31020,Chili's B & G E Rutherfor,1.00
Nick Melissari,49022,El asadero Mexican Grill (Fort Lee),1.00
Nick Melissari,30029,Native Union Club,1.00
Nick Melissari,77031,Parkway Lanes,1.00
Nick Melissari,31017,Victory Sports Bar,1.00
Nick Melissari,37063,Jojo's Bar & Grill,1.00
Nick Melissari,49060,Franco's Metro Rest (P),1.00
Nick Melissari,37034,Blackjack Mulligans(P) (Garfield),1.00
Nick Melissari,93007,Rp Prime Restaurant,1.00
Nick Melissari,94004,Hansil's Bar (P),1.00
Nick Melissari,41017,Rosa Mexicano (A),1.00
Nick Melissari,92007,Brady's At(A)The Station,1.00
Nick Melissari,31029,Annabella's House Of Mozz,1.00
