account,product_num,cases
7,2418,5
7,2423,3
7,2425,21
7,2426,2
7,2440,8
7,2441,1
7,2442,20
7,2443,1
7,2446,1
7,2482,2
7,2507,2
7,2510,7
7,2511,4
7,2512,9
7,2610,3
7,2611,1
7,2612,2
7,2613,13
7,2651,5
7,2652,8
7,2653,2
7,2654,5
7,2802,1
7,2804,1
7,2807,22
7,2808,22
7,2809,125
7,2811,132
7,2812,11
7,2813,1
7,2814,40
7,2815,29
7,2816,43
7,2817,12
7,2818,9
7,2821,19
7,2824,6
7,2825,32
7,2826,8
7,2827,7
7,2828,7
7,2829,3
7,2830,1
7,2831,5
7,2832,5
7,2833,1
7,2834,5
7,2835,7
7,2836,2
7,2838,4
7,2839,1
7,2840,2
7,2910,1
7,2912,1
7,2973,2
7,2974,1
7,2975,3
7,2977,2
7,2983,1
7,2984,1
7,2987,2
7,3062,1
7,3173,6
7,3174,3
7,3176,14
7,3310,2
7,3316,1
7,3324,3
7,3460,1
7,3720,8
7,3722,16
7,3723,2
7,3724,13
7,3802,1
7,3807,1
7,3808,5
7,3817,1
7,3818,4
7,3823,1
7,3840,1
7,3842,3
7,3843,4
7,3844,5
7,3864,2
7,3872,1
7,3908,1
7,4012,1
7,4016,5
7,4021,1
7,4030,2
7,4031,1
7,4035,1
7,4037,1
7,4040,2
7,4325,7
7,4525,4
7,4532,1
7,4602,1
7,4656,1
7,4701,2
7,4710,8
7,4711,19
7,4712,5
7,4713,24
7,4716,26
7,4717,3
7,4718,2
7,4719,2
7,4734,20
7,4735,2
7,4736,3
7,4738,3
7,4739,3
7,4740,1
7,4742,5
7,4744,4
7,4753,1
7,4755,1
7,4765,1
7,4768,3
7,4769,1
7,4770,3
7,4782,1
7,4810,2
7,4812,1
7,4909,2
7,4910,3
7,4914,3
7,4919,1
7,4923,1
7,5236,3
7,5253,1
7,5370,2
7,5371,1
7,5389,1
7,5402,1
7,5503,1
7,5762,1
7,5976,4
7,6601,2
7,6602,1
7,6647,1
7,6653,3
7,6660,4
7,6727,3
7,6728,4
7,6729,3
7,6731,3
7,6762,2
7,6764,1
7,6777,1
7,6778,5
7,6788,3
7,6792,4
7,6981,16
7,6982,4
7,6984,1
7,6987,4
7,6989,6
7,6991,2
7,6993,3
7,7101,4
7,7110,6
7,7111,1
7,7115,15
7,7126,1
7,7127,4
7,7141,1
7,7142,10
7,7143,4
7,7144,3
7,7147,3
7,7148,1
7,7152,2
7,7153,1
7,7160,34
7,7162,1
7,7163,2
7,7164,3
7,7171,4
7,7174,8
7,7180,3
7,7182,3
7,7210,1
7,7224,2
7,7270,1
7,7273,2
7,7303,8
7,7304,3
7,7305,3
7,7310,25
7,7312,7
7,7313,104
7,7314,1
7,7315,1
7,7317,13
7,7318,8
7,7326,1
7,7332,14
7,7333,5
7,7341,2
7,7361,2
7,7362,10
7,7364,54
7,7368,5
7,7380,1
7,7392,3
7,7394,13
7,7402,1
7,7416,6
7,7418,4
7,7422,2
7,7431,2
7,7436,3
7,7444,1
7,7447,2
7,7449,1
7,7564,1
7,7577,1
7,7652,3
7,7810,2
7,7811,7
7,7905,2
7,7908,1
7,7910,1
7,7911,1
7,7916,6
7,7920,1
7,7922,1
7,7925,2
7,7935,3
7,7937,2
7,8110,5
7,8111,2
7,8121,1
7,8124,1
7,8134,1
7,8145,2
7,8212,1
7,8231,2
7,8236,2
7,8237,1
7,8239,3
7,8329,8
7,8330,2
7,8332,1
7,8333,10
7,8334,2
7,8336,4
7,8337,3
7,8339,2
7,8340,5
7,8341,9
7,8345,6
7,8348,1
7,8349,9
7,8373,1
7,8375,1
7,8376,1
7,8377,1
7,8383,2
7,8384,1
7,8385,2
7,8386,2
7,8410,4
7,8420,2
7,8427,2
7,8431,5
7,8437,1
7,8450,1
7,8451,2
7,8454,3
7,8456,1
7,8458,3
7,8466,3
7,8476,3
7,8480,2
7,8499,5
7,8509,1
7,8526,2
7,8532,10
7,8533,3
7,8534,1
7,8536,3
7,8539,1
7,8545,1
7,8550,2
7,8551,2
7,8559,1
7,8560,3
7,8561,2
7,8566,1
7,8568,2
7,8577,9
7,8580,3
7,8581,9
7,8582,1
7,8583,17
7,8585,2
7,8586,1
7,8587,4
7,8588,20
7,8589,4
7,8591,1
7,8592,8
7,8595,1
7,8596,9
7,8597,12
7,8600,10
7,8602,1
7,8603,3
7,8607,4
7,8608,2
7,8609,1
7,8612,7
7,8619,6
7,8621,1
7,8622,3
7,8623,4
7,8624,2
7,8625,3
7,8626,3
7,8628,3
7,8632,7
7,8633,2
7,8634,3
7,8637,3
7,8647,3
7,8659,2
7,8663,6
7,8664,2
7,8670,1
7,8671,1
7,8674,2
7,8677,2
7,8692,6
7,8710,13
7,8711,2
7,8720,1
7,8850,1
7,8851,3
7,8852,3
