Customer Num,Customer Name,Area,Shipping Address,City,Date,Sales Rep Name,District Manager Name,Brand,Brand Family,Supplier,Units   2026
31039,Yard House 8390,Bergen,1 American Dream Way,East Rutherford,8/25/2026,Nick Melissari,Chris McCrohan,Corona Premier,Corona Premier,Constellation Brands,1.00
31027,New Park Tav (A),Bergen,250 Park Ave,East Rutherford,8/25/2026,Nick Melissari,Chris McCrohan,Yuengling Lager,Yuengling Lager,DG Yuengling Inc,1.00
20038,Patsy's (A) Tavern,Passaic,72 7th Ave,Paterson,8/25/2026,Derrick Laws,Denise Montes,Coors Light,Coors Light,MolsonCoors Beverage Company,1.00
31039,Yard House 8390,Bergen,1 American Dream Way,East Rutherford,8/25/2026,Nick Melissari,Chris McCrohan,Heineken,Heineken USA,Heineken USA,1.00
12047,American Lgn 174 Wayne,Passaic,55 Mountain View Blvd,Wayne,8/25/2026,Robin Feldman,Chris McCrohan,Coors Light,Coors Light,MolsonCoors Beverage Company,1.00
170282,The Hoboken Biergarten,Hudson,1422 Grand Street,Hoboken,8/25/2026,Jaime Colonna,Mike Kennedy,Hofbrau Original,Hofbrau Usa,Hofbrauhaus USA,4.00
170282,The Hoboken Biergarten,Hudson,1422 Grand Street,Hoboken,8/25/2026,Jaime Colonna,Mike Kennedy,STIEGL KEG,Stiegl,Global Beer,1.00
31027,New Park Tav (A),Bergen,250 Park Ave,East Rutherford,8/25/2026,Nick Melissari,Chris McCrohan,Blue Moon Belgian White Ale,Blue Moon,MolsonCoors Beverage Company,1.00
191007,Charley's Tavern,Morris 1,57 NJ-181,Lake Hopatcong,8/25/2026,Brian Sengebush,Chris McCrohan,Dogfish Head 60 Minute IPA,Dogfish Head Beer,Boston Beer Company,1.00
31027,New Park Tav (A),Bergen,250 Park Ave,East Rutherford,8/25/2026,Nick Melissari,Chris McCrohan,Samuel Adams Octoberfest Seasonal Beer,Samuel Adams,Boston Beer Company,2.00
31026,Rockafella's,Bergen,443 Paterson Aven,East Rutherford,8/25/2026,Nick Melissari,Chris McCrohan,Pabst Blue Ribbon,Pabst Blue Ribbon,Pabst Brewing Company,2.00
62003,Stern And Bow,Bergen,171 Schraalenburgh Rd,Closter,8/25/2026,Paul Mclaughlin,Chris McCrohan,Montauk Wave Chaser IPA,Montauk,Montauk Brewing Co,1.00
31039,Yard House 8390,Bergen,1 American Dream Way,East Rutherford,8/25/2026,Nick Melissari,Chris McCrohan,Modelo Especial,Modelo Especial,Constellation Brands,1.00
170282,The Hoboken Biergarten,Hudson,1422 Grand Street,Hoboken,8/25/2026,Jaime Colonna,Mike Kennedy,Weihenstephen Festbier,Weihenstephaner,Total Beverage Solutions,2.00
80012,California Pizza Paramus,Bergen,1160 Garden State Plaza,Paramus,8/25/2026,Nick Melissari,Chris McCrohan,Blue Moon Belgian White Ale,Blue Moon,MolsonCoors Beverage Company,1.00
24019,Sharky's Wings(P),Passaic,545 Highland Ave,Clifton,8/25/2026,Allison Scott,Chris McCrohan,Coors Light,Coors Light,MolsonCoors Beverage Company,1.00
152037,The Deep Inn,Essex,60 Pulaski St,Newark,8/25/2026,Alisa Acciardi,Mike Kennedy,Garage Beer Light,Garage Beer,Garage Beer,1.00
96006,Blue Moon Mexican Cafe,Bergen,327j Franklin Ave,Wyckoff,8/25/2026,Nick Melissari,Chris McCrohan,Modelo Especial,Modelo Especial,Constellation Brands,1.00
31039,Yard House 8390,Bergen,1 American Dream Way,East Rutherford,8/25/2026,Nick Melissari,Chris McCrohan,New Belgium House Hazy IPA,New Belgium Brewing Company,New Belgium Brewing Company,1.00
191007,Charley's Tavern,Morris 1,57 NJ-181,Lake Hopatcong,8/25/2026,Brian Sengebush,Chris McCrohan,Yuengling Lager,Yuengling Lager,DG Yuengling Inc,1.00
31039,Yard House 8390,Bergen,1 American Dream Way,East Rutherford,8/25/2026,Nick Melissari,Chris McCrohan,New Belgium Voodoo Ranger Juicy Haze IPA,Voodoo Family,New Belgium Brewing Company,1.00
24019,Sharky's Wings(P),Passaic,545 Highland Ave,Clifton,8/25/2026,Allison Scott,Chris McCrohan,Yuengling Lager,Yuengling Lager,DG Yuengling Inc,2.00
49043,De Novo European Pub,Bergen,1257 River Rd,Edgewater,8/25/2026,Nick Melissari,Chris McCrohan,Sierra Nevada Hazy Little Thing IPA,Sierra Nevada,Sierra Nevada Brewing Company,1.00
12022,Grasshopper Too (A),Passaic,26 Erie Ave,Wayne,8/24/2026,Allison Scott,Chris McCrohan,Coors Light,Coors Light,MolsonCoors Beverage Company,2.00
29051,Medieval Times,Bergen,149 Polito Ave,Lyndhurst,8/24/2026,Paul Mclaughlin,Chris McCrohan,Yuengling Lager,Yuengling Lager,DG Yuengling Inc,8.00
49016,Ipic Theaters,Bergen,2023 Hudson St,Fort Lee,8/24/2026,Dan Lagala,Mike Engel,Yuengling Lager,Yuengling Lager,DG Yuengling Inc,1.00
150049,Verona Inn(Z),Essex,624 Bloomfield Ave,Verona,8/24/2026,Michael Harboy,Mike Kennedy,Sapporo Premium,Sapporo,Sapporo,2.00
78007,Woodstone Pizza B & G,Bergen,352 W. Passaic Street,Rochelle Park,8/24/2026,Nick Melissari,Chris McCrohan,Blue Moon Belgian White Ale,Blue Moon,MolsonCoors Beverage Company,1.00
