Asset ID,Purchase,Asset Type,Asset Description,Asset Num,Serial Num,Status,Location,Bin,Cost,Remaining Value,Placed in Service Date,Customer,Time Confirmed,Purchased Date,Sold Date,Asset Owner
18023,,Pacifico Yappy Hour 16oz shaker,Pacifico Yappy Hour 16oz shaker,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18022,,Pacifico Yappy Hour 16oz shaker,Pacifico Yappy Hour 16oz shaker,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18021,,Pacifico Yappy Hour 16oz shaker,Pacifico Yappy Hour 16oz shaker,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18020,,Pacifico Yappy Hour 16oz shaker,Pacifico Yappy Hour 16oz shaker,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18019,,Pacifico Yappy Hour 16oz shaker,Pacifico Yappy Hour 16oz shaker,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18018,,Pacifico Yappy Hour 16oz shaker,Pacifico Yappy Hour 16oz shaker,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18017,,Pacifico Yappy Hour 16oz shaker,Pacifico Yappy Hour 16oz shaker,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18016,,Pacifico Yappy Hour 16oz shaker,Pacifico Yappy Hour 16oz shaker,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18015,,Pacifico Yappy Hour 16oz shaker,Pacifico Yappy Hour 16oz shaker,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18014,,Pacifico Yappy Hour 16oz shaker,Pacifico Yappy Hour 16oz shaker,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18013,,Pacifico Yappy Hour 16oz shaker,Pacifico Yappy Hour 16oz shaker,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18012,,Pacifico Yappy Hour 16oz shaker,Pacifico Yappy Hour 16oz shaker,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18011,,Pacifico Yappy Hour 16oz shaker,Pacifico Yappy Hour 16oz shaker,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18010,,Pacifico Yappy Hour 16oz shaker,Pacifico Yappy Hour 16oz shaker,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18009,,Pacifico Yappy Hour 16oz shaker,Pacifico Yappy Hour 16oz shaker,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
