Asset Request ID,Asset Type,Asset,Brand,Program,Location,Task ID,Delivery Date,BrandFamily,Supplier,Time Updated,Updated By,Time Created,Created By
12137,Miller Lite America 250 Grizzly cooler,17361,Miller Lite,,Hawthorne,7850581,7/14/2026,Lite,MolsonCoors Beverage Company,7/14/2026 7:52 AM,chrishope,7/13/2026 11:44 AM,nickmelissar
12136,*DD* Peroni Foosball Cooler,15942,Peroni,,Hawthorne,7850580,7/14/2026,Peroni,MolsonCoors Beverage Company,7/14/2026 7:51 AM,chrishope,7/13/2026 11:44 AM,nickmelissar
12135,Modelo Soccer 16oz Shaker,,Modelo Especial,,Hawthorne,7850579,7/14/2026,Modelo Especial,Constellation Brands,7/14/2026 7:49 AM,chrishope,7/13/2026 11:44 AM,nickmelissar
12134,Modelo Soccer 16oz Shaker,,Modelo Especial,,Hawthorne,7850578,7/14/2026,Modelo Especial,Constellation Brands,7/14/2026 7:49 AM,chrishope,7/13/2026 11:44 AM,nickmelissar
12133,Modelo Futbol 16oz Shaker,17305,Modelo Especial,,Hawthorne,7850577,7/14/2026,Modelo Especial,Constellation Brands,7/14/2026 7:52 AM,chrishope,7/13/2026 11:44 AM,nickmelissar
12132,Modelo Futbol 16oz Shaker,17304,Modelo Especial,,Hawthorne,7850576,7/14/2026,Modelo Especial,Constellation Brands,7/14/2026 7:52 AM,chrishope,7/13/2026 11:44 AM,nickmelissar
12131,*DD* Peroni Foosball Cooler,15941,Peroni,,Hawthorne,7850575,7/14/2026,Peroni,MolsonCoors Beverage Company,7/14/2026 7:51 AM,chrishope,7/13/2026 11:44 AM,nickmelissar
12130,Coors Light 16oz Signature Shaker,12928,Coors Light,,Hawthorne,7850572,7/14/2026,Coors Light,MolsonCoors Beverage Company,7/14/2026 7:59 AM,chrishope,7/13/2026 11:29 AM,robinfeldman
12129,Coors Light 16oz Signature Shaker,12927,Coors Light,,Hawthorne,7850571,7/14/2026,Coors Light,MolsonCoors Beverage Company,7/14/2026 7:59 AM,chrishope,7/13/2026 11:29 AM,robinfeldman
12128,*CP* Carbliss Patio Umbrella,,Carbliss Black Cherry,,Hawthorne,7850568,,Carbliss,SN Food & Beverage LLC,7/13/2026 10:56 AM,chrishope,7/13/2026 10:56 AM,chrishope
