Sales Rep Assigned,Customer Num,Customer Name,Shipping Address,City,County,Distribution Area,Buyer Count   2026,Cases   2026
Alisa Acciardi,150037,Heller & Heller Liquors (Nutley),200 N Franklin Ave,Nutley,Essex,Essex,1.00,217.00
Andrew Lundy,150133,The Wine Rack Millburn,186 Essex St,Millburn,Essex,Essex,1.00,216.00
Dylan Rubino,171346,Crown Liquor,428 32nd St,Union City,Hudson,Hudson,1.00,214.00
Jaime Colonna,170429,Village W & L (P),348 Grove St,Jersey City,Hudson,Hudson,1.00,213.00
Hakan Sadik,152003,Hawthorne Quality Liquors,340 Hawthorne Ave,Newark,Essex,Essex,1.00,212.50
Michael Harboy,150103,Jacks Supermarket,370 Bloomfield Ave,Caldwell,Essex,Essex,1.00,211.00
Dylan Rubino,170015,Twin City Liquors (A),2 Garfield Ave,Jersey City,Hudson,Hudson,1.00,209.00
Alex Rodriguez,150609,Home Liquors(465 Newark),465 Orange St,Newark,Essex,Essex,1.00,207.00
Hakan Sadik,150620,Maplewood Wine & Liquor,3 Highland Pl,Maplewood,Essex,Essex,1.00,206.00
Alisa Acciardi,150144,Home Liquors(480 Newark) (P),480 Market St,Newark,Essex,Essex,1.00,205.00
Hakan Sadik,150216,Brandy's Lounge And Liquors,155-157 Main St,Orange,Essex,Essex,1.00,205.00
Dylan Rubino,170092,Willies Liq (P),501 Central Ave,Jersey City,Hudson,Hudson,1.00,205.00
Dylan Rubino,170083,Metro Liquor (69 Jersey City),69 Martin Luther King Dr,Jersey City,Hudson,Hudson,1.00,203.00
Hakan Sadik,150230,King's W & L,230 Springdale Ave,East Orange,Essex,Essex,1.00,202.00
Hakan Sadik,152018,Kimka Liquors,918-920 18th Ave,Newark,Essex,Essex,1.00,201.00
Dylan Rubino,170312,J B Liquors,368 Summit Ave,Jersey City,Hudson,Hudson,1.00,201.00
Alisa Acciardi,152040,Top Shelf Wine & Liquor,1 Raymond Plaza West,Newark,Essex,Essex,1.00,200.00
Dylan Rubino,170198,Heights Liquors,292 Central Avenue,Jersey City,Hudson,Hudson,1.00,200.00
Hakan Sadik,150044,South Orange Fine Wine & Spirits,1153 South Orange Ave,Newark,Essex,Essex,1.00,199.00
Dylan Rubino,170261,Bela Wine & Spirits_2,74 Maple Ave,Jersey City,Hudson,Hudson,1.00,196.00
Andrew Lundy,251008,Home Wines & Liquors (2401 Union),2401 H Union Plaza Rt.22W.,Union,Union,Union,1.00,195.00
Dylan Rubino,170033,Fulton Liquors (P),165 Martin Luther King,Jersey City,Hudson,Hudson,1.00,195.00
Dylan Rubino,170057,New Town Liquors (P),478 Westside Avenue,Jersey City,Hudson,Hudson,1.00,192.00
Andrew Lundy,250046,Pregame Liquors,355 W. St.Georges Ave,Linden,Union,Union,1.00,192.00
Dylan Rubino,171349,Payano Liquors,1411 Summit Ave,Union City,Hudson,Hudson,1.00,191.00
Hakan Sadik,150223,New Gold Rose Liquors,392 Williams St,East Orange,Essex,Essex,1.00,190.00
Dylan Rubino,170144,Hudson Wine Co (P),865 Roosevelt Ave,Secaucus,Hudson,Hudson,1.00,188.00
Dylan Rubino,170122,Liquor Boss,683 Summit Ave,Jersey City,Hudson,Hudson,1.00,187.00
Jaime Colonna,171015,Uncorked Wines & Spirits - Hoboken NJ,1450 Washington St,Hoboken,Hudson,Hudson,1.00,186.00
Alisa Acciardi,170239,Brothers Supermarket,311 Harrison Ave,Harrison,Hudson,Hudson,1.00,184.00
Alisa Acciardi,171404,Massarelli's Liquors,403 Broadway,Bayonne,Hudson,Hudson,1.00,184.00
Alisa Acciardi,171303,Drink Rite Liquor,315 Kearny Ave,Kearny,Hudson,Hudson,1.00,184.00
Hakan Sadik,152014,Haber Liquors,378 Chancellor Ave,Newark,Essex,Essex,1.00,183.00
Hakan Sadik,152029,Skyline Liquors Iii,513 Hawthorne Ave,Newark,Essex,Essex,1.00,182.00
Alex Rodriguez,250300,Jackson Liquors,426 Jackson Ave,Elizabeth,Union,Union,1.00,181.00
Michael Harboy,150053,Pilgrim Liquor,283 Pompton Ave,Verona,Essex,Essex,1.00,179.00
Dylan Rubino,170212,Empire Liq (P),6301 Park Ave,West New York,Hudson,Hudson,1.00,179.00
Hakan Sadik,150172,Maple Check,1942 Springfield Ave,Maplewood,Essex,Essex,1.00,177.00
Dylan Rubino,170211,Pavan Liquors (P),6509 Park Avenue,West New York,Hudson,Hudson,1.00,176.00
Hakan Sadik,150134,Bell Liquor,2 Bloomfield Ave,Belleville,Essex,Essex,1.00,175.00
Hakan Sadik,150184,Newark Discount Wine and Spirits,355 Bloomfield Ave,Newark,Essex,Essex,1.00,175.00
Alisa Acciardi,150229,City Discount Liquors,114-130 Stockton St.,Newark,Essex,Essex,1.00,175.00
Dylan Rubino,170069,Blvd Liquors (P),2844 Kennedy Blvd.,Jersey City,Hudson,Hudson,1.00,174.00
Dylan Rubino,171335,Latino's Liquor (P),5115 Hudson Ave,West New York,Hudson,Hudson,1.00,173.00
Jaime Colonna,173058,Ottomanelli's Liquor Store,422 Monroe St,Hoboken,Hudson,Hudson,1.00,171.00
Andrew Lundy,250161,The Wine Rack Summit,490 Morris Ave,Summit,Union,Union,1.00,170.00
Dylan Rubino,170121,Lee's Liquor & Grocery Store,45 Congress Street,Jersey City,Hudson,Hudson,1.00,170.00
Dylan Rubino,170186,A&A Liquor (P),2347 Kennedy Blvd,Jersey City,Hudson,Hudson,1.00,170.00
Hakan Sadik,150217,Galaxy Liquor,410 Central Ave,Orange,Essex,Essex,1.00,169.00
Dylan Rubino,171348,Los Laureles Liq (Z),4625 Broadway,Union City,Hudson,Hudson,1.00,168.00
Jaime Colonna,170265,Metropolis,96 River St,Hoboken,Hudson,Hudson,1.00,167.00
Alex Rodriguez,250047,Wine Cellar,808 Spring Street,Elizabeth,Union,Union,1.00,167.00
Dylan Rubino,170079,Sigmond Liquors (A),332 Martin Luther King,Jersey City,Hudson,Hudson,1.00,166.00
Alex Rodriguez,250056,Continental Wine/Liq,840 Elizabeth Ave,Elizabeth,Union,Union,1.00,166.00
