Sales Rep Assigned,Customer Num,Customer Name,Shipping Address,City,County,Distribution Area,Buyer Count   2026,Cases   2026
Dave Ehlers,40001,Bottle & Cork,380 W Pleasantview Ave,Hackensack,Bergen,Bergen,1.00,7562.33
Javier Melo,24003,Paulison Liquors (P),621 Paulison Ave,Clifton,Passaic,Passaic,1.00,7557.00
Mike Ast,19027,Goffle Road Wine and More,1100 Goffle Rd,Hawthorne,Passaic,Passaic,1.00,7496.83
Javier Melo,20031,La Joya Liquors,15 Park Ave,Paterson,Passaic,Passaic,1.00,7453.00
Derrick Laws,20025,Mercer Bar & Liquors,73 Mercer St,Paterson,Passaic,Passaic,1.00,7419.00
Shane Barreca,86003,Township Liq (P),309 Pascack Rd,Washington Twsp,Bergen,Bergen,1.00,7349.00
Javier Melo,20069,Segundo's (P),293 Madison Ave,Paterson,Passaic,Passaic,1.00,7344.00
Chris Payton,38008,Shop Rite Liq.(A)Lodi,150 Main Str,Lodi,Bergen,Bergen,1.00,7318.00
Brian Sengebush,231717,Culver Liquor and Bar,364 Us-206,Branchville,Sussex,Sussex,1.00,7273.00
Mike Ast,94008,Oakland Wine (A),390 Ramapo Valley Rd,Oakland,Bergen,Bergen,1.00,7233.50
Derrick Laws,15037,Liquor Gallery (Paterson),459 Mcbride Ave,Paterson,Passaic,Passaic,1.00,7175.50
Javier Melo,27034,Liquor Stop (Passaic),321 Broadway,Passaic,Passaic,Passaic,1.00,7124.00
Dan Lagala,43015,Kikos Liquors Ii,321 Anderson Ave,Fairview,Bergen,Bergen,1.00,7101.00
Shane Barreca,71003,Brand Bar & Bev (A),73 Park Ave,Park Ridge,Bergen,Bergen,1.00,7080.00
Jim Heaney,24020,US#1 Wine & Liquor,534 Van Houten Ave,Clifton,Passaic,Passaic,1.00,7041.00
Derrick Laws,20030,10th Ave Liq & Food (P),350 10th Ave,Paterson,Passaic,Passaic,1.00,7024.00
Jayson Romine,191408,Super Saver Liq,322 Howard Blvd,Mt Arlington,Morris,Morris 1,1.00,6898.00
Derrick Laws,20040,Hiciano Liquor Store,71 73 Park Ave,Paterson,Passaic,Passaic,1.00,6874.00
Anthony Palmisano,8010,George's Market (A),766 Hamburg Tpke,Pompton Lakes,Passaic,Passaic,1.00,6831.00
Jayson Romine,230441,Wine Country Newton,49 Hampton House Road,Newton,Sussex,Sussex,1.00,6827.00
Chris Payton,38019,Circle Liquors,1- 6 South Main Street,Lodi,Bergen,Bergen,1.00,6790.68
Anthony Palmisano,8009,Appio's Liquors,211 Wanaque Ave,Pompton Lakes,Passaic,Passaic,1.00,6769.00
Shane Barreca,62001,Garden State Deli (A),135 Oakland Ave,Closter,Bergen,Bergen,1.00,6742.00
Matt Powierski,26001,Luigi's Liquor (A),175 Jefferson St,Passaic,Passaic,Passaic,1.00,6710.00
Dave Ehlers,40017,Essex St Liquor and Wine,214 Essex St,Hackensack,Bergen,Bergen,1.00,6703.00
Dave Ehlers,41005,George's Liq,130 Anderson St,Hackensack,Bergen,Bergen,1.00,6635.00
Derrick Laws,21035,M & R Disc (A) Liqs.,408 21st Ave,Paterson,Passaic,Passaic,1.00,6575.00
Klejdi Lamo,191213,Island Of Spirits (P),3025 Rt 23 N,Oak Ridge,Passaic,Passaic,1.00,6551.00
Chris Payton,35002,Woodridge Wines & Liq(A),206 Hackensack St,Woodridge,Bergen,Bergen,1.00,6525.67
Mike Ast,19009,Diamond Liquor,203 Diamond Bridge Ave,Hawthorne,Passaic,Passaic,1.00,6522.00
Jim Heaney,30005,Rutherford Wine (A),270 Park Ave,Rutherford,Bergen,Bergen,1.00,6507.94
Javier Melo,21054,C & S Lucky Liquors (P),299 Grand Street,Paterson,Passaic,Passaic,1.00,6476.00
Klejdi Lamo,190804,Midtown Liq,101 White Meadow Rd,Rockaway,Morris,Morris 1,1.00,6440.17
Shane Barreca,62009,Gary's Wine & Marketplace (Closter),67 Ver Valen St,Closter,Bergen,Bergen,1.00,6414.00
Pablo Lopez,20070,Joe's Liquor (A),328 11th Ave,Paterson,Passaic,Passaic,1.00,6406.50
Anthony Palmisano,5006,Roserne Pkg Store South,1477 NJ-23,Butler,Morris,Morris 3,1.00,6401.33
Derrick Laws,21031,Broadway Liq (A),732 Broadway,Paterson,Passaic,Passaic,1.00,6375.50
Anthony Palmisano,3005,Usa Wine Traders (Wanaque),207 Ringwood Ave,Wanaque,Passaic,Passaic-FF,1.00,6326.00
Klejdi Lamo,190802,Sam's Liq Wine (P),325 W Clinton St,Dover,Morris,Morris 1,1.00,6278.00
Dave Ehlers,51008,H & R Disc. Liq (P),1350-1352 Teaneck Rd,Teaneck,Bergen,Bergen,1.00,6168.00
Jim Heaney,25042,Town Liquors,805 Van Houten Ave,Clifton,Passaic,Passaic,1.00,6162.00
Mike Ast,17012,Speedy Mart (P),311 Haledon Ave,Haledon,Passaic,Passaic,1.00,6117.00
Anthony Palmisano,8008,Shoppers Disc(A)Pompton,744 Hamburg Tpke,Pompton Lakes,Passaic,Passaic,1.00,6109.50
Dave Ehlers,41012,Deli Mart (A),789 Main St,Hackensack,Bergen,Bergen,1.00,6098.00
Javier Melo,21055,C & S Lucky Liquors II,460 Chamberlain Ave,Paterson,Passaic,Passaic,1.00,6049.00
Dan Lagala,46012,Jay Cee (P) Deli & Liq.,246 Broad Ave,Palisades Park,Bergen,Bergen,1.00,6022.00
Anthony Palmisano,6002,Roserne Liquors North,1150 NJ-23,Kinnelon,Morris,Morris 3,1.00,5991.17
Javier Melo,21028,Estevez Liquors & Grocery 2 LLC,262 22nd Ave,Paterson,Passaic,Passaic,1.00,5971.00
Mike Ast,89005,Allendale Wine Shoppe,101 W Allendale Ave,Allendale,Bergen,Bergen,1.00,5962.00
Jayson Romine,230431,Seplow's Liquors,5 Woodside Ave,Newton,Sussex,Sussex,1.00,5939.00
Chris Payton,50016,Teaneck Quickshop(P)Conv,725 Cedar Lane,Teaneck,Bergen,Bergen,1.00,5899.00
Pablo Lopez,15061,Boulevard Wine & Spirits,467 Union Ave,Paterson,Passaic,Passaic,1.00,5896.00
Michael Harboy,11014,Wayne Liquor Locker,598 Valley Rd,Wayne,Passaic,Passaic,1.00,5874.00
Dan Lagala,46015,Mukeunji (Z),421 Broad Ave,Palisades Park,Bergen,Bergen,1.00,5854.00
Derrick Laws,20060,Moya E.Bar&Liq.(Z),428 East 18th St,Paterson,Passaic,Passaic,1.00,5669.50
Klejdi Lamo,190302,Basket Of Cheer Ii (Lake Hiawatha),149 N Beverwyck Rd,Lake Hiawatha,Morris,Morris 1,1.00,5589.00
Pablo Lopez,20062,Intensity Lounge/Angie's Liquors,109 Main St,Paterson,Passaic,Passaic,1.00,5586.00
Anthony Palmisano,9003,B & B Wine&Liq,613 Newark Pompton Tpke,Pompton Plains,Morris,Morris 3,1.00,5581.00
Chris Payton,38016,Lodi Liquor Store(P),25 C WASHINGTON STREET,Lodi,Bergen,Bergen,1.00,5552.00
Jim Heaney,23002,Valley Liquors (A),343 Hazel St,Clifton,Passaic,Passaic,1.00,5542.00
Matt Powierski,77002,Birchwood Liq & Deli (Z),545 Boulevard,Elmwood Park,Bergen,Bergen,1.00,5532.00
Anthony Palmisano,2002,Ringwood Discount Liquors,38 Ringwood Ave,Ringwood,Passaic,Passaic-FF,1.00,5493.00
Pablo Lopez,21034,Schulman's (P) Deli,521 Park Ave,Paterson,Passaic,Passaic,1.00,5462.33
Shane Barreca,74009,Westwood Wine and Liquors,725 Broadway,Westwood,Bergen,Bergen,1.00,5404.00
Dan Lagala,49044,Linwood Wine-Hudson Light,675 Park Ave,Fort Lee,Bergen,Bergen,1.00,5393.00
Matt Powierski,77022,All Star Wine & Liquor,21 Midland Ave,Elmwood Park,Bergen,Bergen,1.00,5390.00
Matt Powierski,31008,Metro Wine And Liq(A),89 NJ-17,East Rutherford,Bergen,Bergen,1.00,5373.67
Dave Ehlers,51013,G & G Liquors & Bar,1435 Teaneck Rd,Teaneck,Bergen,Bergen,1.00,5370.00
Klejdi Lamo,190208,Boonton Liquor Locker,119 Hawkins Pl,Boonton,Morris,Morris 1,1.00,5368.00
Klejdi Lamo,190907,Wharton Liquor Store,41 N Main St,Wharton,Morris,Morris 1,1.00,5367.00
Jim Heaney,28007,Metro Liquors (North Arlington),17 Schuyler Ave,North Arlington,Bergen,Bergen,1.00,5366.00
Dan Lagala,44010,Garden State Food&Liq (P),666 Anderson Ave,Cliffside Park,Bergen,Bergen,1.00,5339.00
Derrick Laws,17002,Hillcrest Liqrs (A),168 Union Ave,Paterson,Passaic,Passaic,1.00,5335.00
Jim Heaney,24009,Quik Stop Conv(Z),261 Clifton Avenue,Clifton,Passaic,Passaic,1.00,5183.00
Dan Lagala,49033,Banner Liquor Iii,1175 Palisade Avenue,Fort Lee,Bergen,Bergen,1.00,5145.00
Dave Ehlers,57003,Joes Beer Wine & Spirits,710 River Rd,New Milford,Bergen,Bergen,1.00,5105.33
Klejdi Lamo,190913,Main Street Liquor,340 S Main St,Wharton,Morris,Morris 1,1.00,5024.33
Matt Powierski,32017,Wine Grand (Carlstadt),675 Paterson Ave,Carlstadt,Bergen,Bergen,1.00,5013.67
Jayson Romine,230911,The Right Bottle,190 Munsonhurst Rd,Franklin,Sussex,Sussex,1.00,5007.00
Jayson Romine,230924,Sussex Co.Discount Liq(P),3235 NJ-94,Franklin,Sussex,Sussex,1.00,4983.00
Mike Ast,88004,Discount Liq (P)_2,28 Franklin Tpke,Waldwick,Bergen,Bergen,1.00,4911.00
