Sales Rep Assigned,Customer Num,Customer Name,Shipping Address,City,County,Distribution Area,Buyer Count   2026,Cases   2026
Paul Mclaughlin,150014,Tierney's Tavern(A),138 Valley Road,Montclair,Essex,Essex,1.00,231.17
Hakan Sadik,150185,Redds Biergarten,216-220 Market St,Newark,Essex,Essex,1.00,217.00
Hakan Sadik,150655,Lufthansa Business Lounge,3 Brewster Rd Terminal B,Newark,Essex,Essex,1.00,206.00
Alisa Acciardi,150300,Obals Inn,439 Broad St,Bloomfield,Essex,Essex,1.00,203.00
John O'Donoghue,250900,Arirang Hibachi Steakhous,1230 Us-22,Mountainside,Union,Union,1.00,196.00
Dylan Rubino,173073,Corkscrew Bar,61 Congress St,Jersey City,Hudson,Hudson,1.00,192.00
Jaime Colonna,171118,Antique Bar And Bakery,122 Willow Ave,Hoboken,Hudson,Hudson,1.00,155.00
Alisa Acciardi,150305,Six Points Pub,574 Bloomfield Ave,Bloomfield,Essex,Essex,1.00,142.00
Alisa Acciardi,173900,Otaiko Hibachi & Sushi,125 Lefante Way,Bayonne,Hudson,Hudson,1.00,135.00
Alex Rodriguez,253002,Golden Anchor Bar,1217 W Front St,Plainfield,Union,Union,1.00,130.00
Dylan Rubino,172050,Bar Sagua,6501 Dewey Ave,West New York,Hudson,Hudson,1.00,125.00
Michael Harboy,150501,Nikko Hibachi Steakhouse,38 2 Bridges Rd,Fairfield,Essex,Essex,1.00,123.00
Alisa Acciardi,171004,Donegal Saloon,337 Kearny Ave,Kearny,Hudson,Hudson,1.00,122.00
Dylan Rubino,170291,IKOS Greek Mediterranean,190 Steuben St,Jersey City,Hudson,Hudson,1.00,112.00
Michael Harboy,150010,Cloverleaf Tavern,395 Bloomfield Ave,Caldwell,Essex,Essex,1.00,103.00
Andrew Lundy,250172,387 Oyster House & Bar,387 Park Ave,Scotch Plains,Union,Union,1.00,103.00
