Sales Rep Assigned,Customer Num,Customer Name,Shipping Address,Distribution Area,County,City,Area,Premise,Buyer Count   2026,Cases   2026
Alex Rodriguez,250080,Crown Liquors,711 E. 1st Ave,Union,Union,Roselle,Union,Off Premise,1.00,97.00
Alex Rodriguez,250082,Pickwick Liquor Shop,707 Park Ave,Union,Union,Plainfield,Union,Off Premise,1.00,556.00
Alex Rodriguez,250093,San Homa Liquors,1003 E. 2nd St.,Union,Union,Plainfield,Union,Off Premise,1.00,374.00
Alex Rodriguez,250128,Liquor Depot,435 Rahway Ave,Union,Union,Elizabeth,Union,Off Premise,1.00,889.92
Alex Rodriguez,250129,Super Value Liquors,224 Rahway Ave,Union,Union,Elizabeth,Union,Off Premise,1.00,131.00
Alex Rodriguez,250130,Westminster Liquors,404 N Broad St,Union,Union,Elizabeth,Union,Off Premise,1.00,150.00
Alex Rodriguez,250131,Liquor Gallery (Elizabeth),131 Elmora Ave,Union,Union,Elizabeth,Union,Off Premise,1.00,146.00
Alex Rodriguez,250132,Butlers Liquor Store,182 Elmora Ave,Union,Union,Elizabeth,Union,Off Premise,1.00,65.00
Alex Rodriguez,250135,Garcias Liquor Depot,309 Westfield Ave,Union,Union,Elizabeth,Union,Off Premise,1.00,288.00
Alex Rodriguez,250137,Elmora Liquors,615 Westfield Ave,Union,Union,Elizabeth,Union,Off Premise,1.00,51.00
Alex Rodriguez,250140,Station Liquors,405 Park Ave,Union,Union,Plainfield,Union,Off Premise,1.00,261.00
Alex Rodriguez,250141,Ben Franklin Liquor,332 East Front St,Union,Union,Plainfield,Union,Off Premise,1.00,356.00
Alex Rodriguez,250147,Rye House Spirits,1472 East Front Rd,Union,Union,Plainfield,Union,Off Premise,1.00,109.00
Alex Rodriguez,250149,South Ave Liquors,1111 South Ave,Union,Union,Plainfield,Union,Off Premise,1.00,284.00
Alex Rodriguez,250151,Paul & Joe Deli And Liq,500 Chandler Ave,Union,Union,Roselle,Union,Off Premise,1.00,69.00
Alex Rodriguez,250152,C & B Liquors,221 Sheridan Ave,Union,Union,Roselle,Union,Off Premise,1.00,74.00
Alex Rodriguez,250153,T & J Liquor,1201 E St George Ave,Union,Union,Roselle,Union,Off Premise,1.00,149.00
Alex Rodriguez,250156,Alman Liquors,111 East 2nd Ave,Union,Union,Roselle,Union,Off Premise,1.00,34.00
Alex Rodriguez,250157,Skylark Discount Liquors,350 West 1st Ave,Union,Union,Roselle,Union,Off Premise,1.00,101.00
Alex Rodriguez,250186,Gail's Wine And Spirits,200 Broad St,Union,Union,Elizabeth,Union,Off Premise,1.00,326.00
Alex Rodriguez,250187,Urena Liquors,416 Morris Ave,Union,Union,Elizabeth,Union,Off Premise,1.00,247.00
Alex Rodriguez,250188,Second Street Liquors,261 2nd St,Union,Union,Elizabeth,Union,Off Premise,1.00,85.00
Alex Rodriguez,250190,Frenchys Bar & Grill,545 W. Westfield Ave,Union,Union,Roselle Park,Union,On Premise,1.00,750.00
Alex Rodriguez,250191,Roselle Park Liquors,117 W. Colfax Ave,Union,Union,Roselle Park,Union,Off Premise,1.00,107.00
Alex Rodriguez,250193,Bella Wine and Spirits,122 E Westfield Ave,Union,Union,Roselle Park,Union,Off Premise,1.00,90.00
Alex Rodriguez,250197,Tiki Mojito,525 Bayway,Union,Union,Elizabeth,Union,On Premise,1.00,20.00
