Sales Rep Assigned,Brand Family,Customer Num,Customer Name,Date,Placement Count   5/1/2026 - 7/31/2026,Placement Count   8/1/2026 - 8/31/2026,Cases   5/1/2026 - 7/31/2026,Cases   8/1/2026 - 8/31/2026
Allison Scott,Peroni,12008,North Jersey C C,8/13/2026,,2.00,,5.00
Anthony Palmisano,Coors,1023,The New Jessies Kettle(P),8/13/2026,,1.00,,3.00
Nick Melissari,Peroni,32005,Biggies (A),8/13/2026,,1.00,,1.00
Brian Sengebush,Peroni,191802,E & D Liquors (P),8/13/2026,,1.00,,1.00
Nick Melissari,Peroni,88006,Andrea's Restaurant,8/13/2026,,1.00,,2.00
Brian Sengebush,Coors,231719,Layton Tavern,8/13/2026,,1.00,,2.00
Nick Melissari,Peroni,88007,Charlie's Place,8/13/2026,,1.00,,4.00
Paul Mclaughlin,Peroni,57007,New Bridge Inn(A),8/12/2026,,1.00,,1.00
Paul Mclaughlin,Peroni,59001,ORA,8/12/2026,,1.00,,10.00
Brian Sengebush,Coors,231715,Gyp's Tavern,8/12/2026,,1.00,,5.00
Paul Mclaughlin,Peroni,61003,White Beeches Golf Club,8/12/2026,,2.00,,2.00
Anthony Palmisano,Coors,1214,Whiskey Wolf Tavern (P),8/12/2026,,1.00,,10.00
Brian Sengebush,Peroni,190601,Thatcher Mcghee's (A),8/12/2026,,1.00,,-1.00
Anthony Palmisano,Coors,230917,Doc's Place (P),8/12/2026,,1.00,,3.00
Robin Feldman,Peroni,2005,Arta Trattoria (P),8/12/2026,,1.00,,2.00
Allison Scott,Peroni,12020,Lakeside Drive Tavern,8/12/2026,,1.00,,1.00
Paul Mclaughlin,Peroni,69009,Rivervale Country Club,8/12/2026,,1.00,,2.00
Allison Scott,Coors,14003,Murph's Bar & Liquor,8/12/2026,,1.00,,1.00
Paul Mclaughlin,Peroni,81024,Anthony's Coal Fired Pizza (Fair Lawn),8/12/2026,,1.00,,1.00
Brian Sengebush,Coors,230405,Sheridan Lodge (P),8/12/2026,,1.00,,1.00
Paul Mclaughlin,Peroni,39006,Fat Bastard & Sons,8/12/2026,,1.00,,1.00
Brian Sengebush,Coors,231703,AG Pizza and Restaurant (Branchville),8/12/2026,,1.00,,3.00
Nick Melissari,Peroni,32008,Steve's Bar & Grill (A),8/12/2026,,1.00,,1.00
Nick Melissari,Coors,80007,The Orange Lantern,8/12/2026,,1.00,,2.00
Allison Scott,Peroni,17006,The Yard,8/12/2026,,1.00,,1.00
Brian Sengebush,Peroni,230411,Cesco's Pizza (P),8/11/2026,,1.00,,2.00
Mike Ast,Peroni,84007,Steel Wheel Tavern,8/11/2026,,1.00,,4.00
Nick Melissari,Peroni,29036,Mr.Bruno's,8/11/2026,,1.00,,2.00
Allison Scott,Peroni,12057,YARD HOUSE 8384,8/11/2026,,1.00,,2.00
Allison Scott,Peroni,11011,Sunset Pub & Grill(Z),8/11/2026,,1.00,,1.00
Nick Melissari,Peroni,49043,De Novo European Pub,8/11/2026,,1.00,,1.00
Allison Scott,Peroni,14010,Uncorked (P),8/11/2026,,1.00,,2.00
Paul Mclaughlin,Coors,86002,Doghouse Saloon (Z),8/11/2026,,1.00,,1.00
Robin Feldman,Peroni,73007,Bensi (P),8/11/2026,,1.00,,2.00
Nick Melissari,Coors,92007,Brady's At(A)The Station,8/11/2026,,1.00,,2.00
Allison Scott,Peroni,24031,Tommy's Tavern & Tap (Clifton),8/11/2026,,1.00,,1.00
Allison Scott,Coors,21043,Duffy's Tavern (Z),8/11/2026,,1.00,,5.00
Robin Feldman,Peroni,31009,Vesta Wood Fired Pizza,8/11/2026,,1.00,,2.00
Paul Mclaughlin,Peroni,40026,Brooklyn's (A),8/11/2026,,1.00,,5.00
Nick Melissari,Peroni,28013,Penelope's Pizzeria & Sports Bar,8/11/2026,,1.00,,2.00
Nick Melissari,Peroni,31039,Yard House 8390,8/11/2026,,1.00,,1.00
Robin Feldman,Coors,231314,Elks Lodge 2288,8/11/2026,,1.00,,3.00
Mike Ast,Peroni,95001,Pazza,8/11/2026,,1.00,,4.00
Anthony Palmisano,Coors,231302,Thirsty Farmer,8/11/2026,,1.00,,8.00
Robin Feldman,Peroni,15077,E & V (A) Restaurant,8/11/2026,,1.00,,2.00
Paul Mclaughlin,Peroni,52030,Sofia,8/11/2026,,2.00,,5.00
Paul Mclaughlin,Peroni,62003,Stern And Bow,8/11/2026,,1.00,,1.00
Allison Scott,Coors,8006,pompton crafthouse,8/11/2026,,1.00,,1.00
Nick Melissari,Coors,80018,Millers Paramus Ale House,8/11/2026,,1.00,,1.00
Robin Feldman,Peroni,18005,Giuseppe (P) Rest.,8/11/2026,,1.00,,1.00
Allison Scott,Coors,24019,Sharky's Wings(P),8/10/2026,,1.00,,2.00
Dan Lagala,Coors,44035,O'Malleys Pub LLC DBA Blackbird Pub,8/10/2026,,2.00,,4.00
Allison Scott,Peroni,12026,WAYNE ALE HOUSE & PIZZA,8/10/2026,,1.00,,2.00
Javier Melo,Coors,20055,Paruta's (A),8/10/2026,,1.00,,10.00
Nick Melissari,Peroni,78007,Woodstone Pizza B & G,8/10/2026,,1.00,,1.00
Paul Mclaughlin,Peroni,40008,Tavern 61 (Z),8/10/2026,,1.00,,5.00
Paul Mclaughlin,Peroni,86007,Bacari,8/7/2026,,1.00,,5.00
Paul Mclaughlin,Peroni,59001,ORA,8/7/2026,,1.00,,3.00
Robin Feldman,Peroni,73004,Osso Buco,8/7/2026,,2.00,,4.00
Allison Scott,Peroni,25009,Spuntino Wine Bar/Italian,8/7/2026,,1.00,,9.00
Mike Ast,Peroni,84009,Mac Murphy,8/7/2026,,1.00,,2.00
Dan Lagala,Peroni,44047,Sedona Tap House,8/7/2026,,1.00,,1.00
Allison Scott,Peroni,23001,Bogey's Sport Bar,8/7/2026,,1.00,,1.00
Brian Sengebush,Peroni,190217,Nostrana Ristorante,8/7/2026,,1.00,,10.00
Paul Mclaughlin,Peroni,70013,Flemings Prime Steakhouse and Wine Bar,8/7/2026,,1.00,,4.00
Mike Ast,Peroni,95001,Pazza,8/7/2026,,1.00,,2.00
Robin Feldman,Peroni,11004,Arca,8/7/2026,,1.00,,2.00
