Customer Num,Customer Name,Sales Rep Assigned,City,Route,On-Off Premise
250316,Rancho Mateo Asadero Colombian,Alex Rodriguez,Unknown,Unknown,On Premise
250310,Rancho Mateo Colombian Steakhouse,Alex Rodriguez,Elizabeth,Hot shot #15,On Premise
250020,Rick's Wines & Liquors,Alex Rodriguez,Plainfield,10054 Thu,Off Premise
250191,Roselle Park Liquors,Alex Rodriguez,Unknown,Unknown,Off Premise
250147,Rye House Spirits,Alex Rodriguez,Plainfield,10084 Thu,Off Premise
250093,San Homa Liquors,Alex Rodriguez,Plainfield,Elizabeth Thu,Off Premise
250188,Second Street Liquors,Alex Rodriguez,Unknown,Unknown,Off Premise
250157,Skylark Discount Liquors,Alex Rodriguez,Roselle,Elizabeth Wed,Off Premise
250149,South Ave Liquors,Alex Rodriguez,Unknown,Unknown,Off Premise
250140,Station Liquors,Alex Rodriguez,Plainfield,10051 Wed,Off Premise
250308,Super Discount Liquors,Alex Rodriguez,Elizabeth,10050 Tue,Off Premise
250129,Super Value Liquors,Alex Rodriguez,Elizabeth,Elizabeth Thu,Off Premise
250153,T & J Liquor,Alex Rodriguez,Unknown,Unknown,Off Premise
253003,Tequila Club,Alex Rodriguez,Plainfield,Elizabeth Thu,On Premise
250197,Tiki Mojito,Alex Rodriguez,Unknown,Unknown,On Premise
260003,US1 Discount Liquor,Alex Rodriguez,Unknown,Unknown,Off Premise
250187,Urena Liquors,Alex Rodriguez,Elizabeth,Elizabeth Fri,Off Premise
250305,Valenca Rest & Liquor,Alex Rodriguez,Unknown,Unknown,Off Premise
250036,Watchung Liquor (P),Alex Rodriguez,Plainfield,10052 Mon,Off Premise
250130,Westminster Liquors,Alex Rodriguez,Elizabeth,10073 Wed,Off Premise
250047,Wine Cellar,Alex Rodriguez,Elizabeth,Elizabeth Thu,Off Premise
150153,Wine Depot Of Livingston,Alex Rodriguez,Livingston,Caldwell Fri,Off Premise
150118,Wine Legend,Alex Rodriguez,Unknown,Unknown,Off Premise
150171,21 Plaza Wine & Liquor,Alisa Acciardi,Newark,Newark Tue,Off Premise
170058,Alex Liquors & Deli,Alisa Acciardi,Unknown,Unknown,Off Premise
150244,Bacchanal Junction,Alisa Acciardi,Unknown,Unknown,On Premise
170053,Bbb Liquors(Costco),Alisa Acciardi,Bayonne,10057 Wed,Off Premise
150060,Belleville Liquors,Alisa Acciardi,Belleville,Montclair Thu,Off Premise
150146,Bello's,Alisa Acciardi,Newark,Newark Thu,On Premise
150080,Berkeley Liquors,Alisa Acciardi,Unknown,Unknown,Off Premise
171303,Best Buy Wine & Liquor,Alisa Acciardi,Kearny,10079 Thu,Off Premise
150052,Bottle King Glen Ridge,Alisa Acciardi,Unknown,Unknown,Off Premise
171001,Bridgeview Liquors,Alisa Acciardi,Bayonne,Jersey City Wed,Off Premise
150023,Brookdale W & S (A),Alisa Acciardi,Bloomfield,Montclair Tue,Off Premise
170239,Brothers Supermarket,Alisa Acciardi,Unknown,Unknown,Off Premise
150187,Burke's Tavern,Alisa Acciardi,Unknown,Unknown,On Premise
170205,Buy-Rite Liquors,Alisa Acciardi,Kearny,Kearny Wed,Off Premise
150128,C & I Liquors(Superfresh),Alisa Acciardi,Unknown,Unknown,Off Premise
150229,City Discount Liquors,Alisa Acciardi,Unknown,Unknown,Off Premise
170123,City Line Liquors (P),Alisa Acciardi,Bayonne,10062 Mon,Off Premise
150086,Cordes Wine & Liquor,Alisa Acciardi,Bloomfield,Newark Tue,Off Premise
152039,Cottage Liquors,Alisa Acciardi,Newark,Newark Tue,Off Premise
150123,Cowans Public,Alisa Acciardi,Unknown,Unknown,On Premise
150033,Discount Liquors Bloomfield,Alisa Acciardi,Bloomfield,Montclair Fri,Off Premise
171004,Donegal Saloon,Alisa Acciardi,Unknown,Unknown,On Premise
174151,Eddy's Bar & Liquor,Alisa Acciardi,Bayonne,Jersey City Fri,On Premise
170210,Eddy's Wine & Liq,Alisa Acciardi,Bayonne,Secaucus Tue,Off Premise
150026,FERRY WINE & LIQUOR STOP,Alisa Acciardi,Unknown,Unknown,Off Premise
171333,Family Convenience & Liq_2,Alisa Acciardi,Kearny,Kearny Tue,Off Premise
150050,Fitzgerald 1928,Alisa Acciardi,Unknown,Unknown,On Premise
150142,Fornos Of Spain (A),Alisa Acciardi,Unknown,Unknown,On Premise
150020,Gallaghers Wine & Cheese,Alisa Acciardi,Bloomfield,10073 Tue,Off Premise
170056,Golden Beer & Liquor,Alisa Acciardi,Harrison,Kearny Tue,Off Premise
150252,Guys & Dolls Billiards & Sports Bar,Alisa Acciardi,Unknown,Unknown,On Premise
170038,Harrison Discount Liq(P),Alisa Acciardi,Harrison,10063 Tue,Off Premise
121004,Harry's Wine Cellar,Alisa Acciardi,Bayonne,10053 Thu,Off Premise
150037,Heller & Heller Liquors (Nutley),Alisa Acciardi,Nutley,Montclair Thu,Off Premise
